2018 Advanced Course Completion Report (District)  - All Students,,,,,,,,,,
District Name,District Code,#_11_12_student_all,# _advanced_students_all,%_complete_advanced_all,%_ELA_all,%_math_all,%_science_tech_all,%_history_socialscience_all,%_arts_all,%_other_subjects_all
Dracut,790000,407,248,60.9,13.5,52.8,19.7,20.6,0,2
Dudley-Charlton Reg,6580000,570,326,57.2,16.3,47.4,36.5,7.5,0.2,7
Duxbury,820000,535,531,99.3,63.6,91,52.3,54,3.7,54
East Bridgewater,830000,312,203,65.1,22.8,55.1,14.1,0,2.9,3
East Longmeadow,870000,427,300,70.3,7.3,58.5,17.1,25.8,4,6
Easthampton,860000,219,113,51.6,50.2,28.8,4.1,0.5,1.4,1
Easton,880000,629,416,66.1,2.2,60.6,29.9,33.5,1.1,2
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,170,135,79.4,31.2,68.2,11.2,8.8,0,0
Essex North Shore Agricultural and Technical School District,8170000,656,419,63.9,27.1,51.8,35.1,26.5,0,22
Everett,930000,"1,021",480,47,9.2,35.6,6.7,12.8,0,9
Excel Academy Charter (District),4100000,101,73,72.3,20.8,62.4,26.7,12.9,5.9,32
Fairhaven,940000,283,173,61.1,16.6,56.5,9.5,6.4,0,0
Fall River,950000,"1,095",405,37,5,34.7,6.8,4.7,1.4,2
Falmouth,960000,395,236,59.7,13.7,58.5,17,25.6,4.1,8
Fitchburg,970000,784,535,68.2,26.3,48.9,39,33.9,22.6,21
Four Rivers Charter Public (District),4130000,74,48,64.9,0,60.8,1.4,6.8,5.4,3
Foxborough,990000,405,264,65.2,19.5,46.7,15.1,39,1,7
Foxborough Regional Charter (District),4460000,122,105,86.1,34.4,74.6,27,31.1,2.5,16
Framingham,1000000,"1,056",788,74.6,13.1,50.6,27.7,20.3,1.3,8
Francis W. Parker Charter Essential (District),4780000,128,109,85.2,0,80.5,50,0,0,0
Franklin,1010000,888,883,99.4,47.9,95.2,48.2,56,30,60
Franklin County Regional Vocational Technical,8180000,234,108,46.2,28.2,41.5,25.2,24.8,1.7,28
Freetown-Lakeville,6650000,383,237,61.9,23.5,53,24.8,30.8,2.9,4
Frontier,6700000,185,140,75.7,16.8,70.3,15.7,28.6,0,1
Gardner,1030000,245,182,74.3,17.1,73.1,21.2,5.7,1.2,0
Gateway,6720000,85,55,64.7,24.7,52.9,28.2,20,0,1
