2017-18 Advanced Placement Participation - All Subjects - Asian,,,,,,,,,
District Name,District Code,test_takers_asian,tests_taken_asian,one_test_asian,two_tests_asian,three_tests_asian,four_tests_asian,five_ormore_tests_asian,
New Bedford,02010000,      11,      21,       6,       2,       1,       2,       0,
Newburyport,02040000,       2,,,,,,,
Newton,02070000,     238,     540,      83,      62,      52,      31,      10,
North Andover,02110000,      33,      50,      21,       7,       5,       0,       0,
North Attleborough,02120000,      30,      65,      13,       7,       5,       2,       3,
North Middlesex,07350000,       2,,,,,,,
North Reading,02170000,      10,      19,       4,       3,       3,       0,       0,
Northampton,02100000,      11,      19,       7,       2,       0,       2,       0,
Northboro-Southboro,07300000,      70,     183,      23,      16,      13,       8,      10,
Northbridge,02140000,       3,,,,,,,
Northeast Metropolitan Regional Vocational Technical,08530000,       2,,,,,,,
Norton,02180000,       5,,,,,,,
Norwell,02190000,       7,,,,,,,
Norwood,02200000,       8,,,,,,,
Old Rochester,07400000,      12,      29,       3,       4,       3,       1,       1,
Oxford,02260000,       3,,,,,,,
Palmer,02270000,       6,,,,,,,
Peabody,02290000,      17,      33,       5,       9,       2,       1,       0,
Pembroke,02310000,       3,,,,,,,
Pentucket,07450000,       5,,,,,,,
Pioneer Charter School of Science (District),04940000,      12,      22,       4,       6,       2,       0,       0,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      18,      34,       8,       4,       6,       0,       0,
Pittsfield,02360000,      12,      23,       2,       9,       1,       0,       0,
Plymouth,02390000,      12,      27,       3,       5,       3,       0,       1,
Prospect Hill Academy Charter (District),04870000,      14,      27,       5,       5,       4,       0,       0,
Quabbin,07530000,       1,,,,,,,
Quincy,02430000,     201,     481,      79,      42,      34,      21,      25,
Ralph C Mahar,07550000,       2,,,,,,,
Randolph,02440000,      60,     117,      18,      27,      15,       0,       0,
Reading,02460000,      18,      41,       8,       4,       0,       5,       1,
Revere,02480000,      41,      82,      15,      14,       9,       3,       0,
Rockland,02510000,       2,,,,,,,
Roxbury Preparatory Charter (District),04840000,       1,,,,,,,
Sabis International Charter (District),04410000,       2,,,,,,,
Salem,02580000,      10,      25,       2,       3,       3,       2,       0,
Salem Academy Charter (District),04850000,       4,,,,,,,
Sandwich,02610000,       5,,,,,,,
Saugus,02620000,      15,      29,       6,       5,       3,       1,       0,
Scituate,02640000,       4,,,,,,,
Seekonk,02650000,       5,,,,,,,
Sharon,02660000,     117,     295,      30,      41,      19,      13,      14,
Shrewsbury,02710000,     120,     287,      32,      39,      28,      12,       9,
Silver Lake,07600000,       4,,,,,,,
Somerset Berkley Regional School District,07630000,       6,,,,,,,
Somerville,02740000,      41,      98,      13,       8,      12,       7,       1,
South Hadley,02780000,       5,,,,,,,
South Shore Charter Public (District),04880000,       1,,,,,,,
Southbridge,02770000,       1,,,,,,,
Southeastern Regional Vocational Technical,08720000,       4,,,,,,,
Southern Worcester County Regional Vocational Technical,08760000,       1,,,,,,,
Southwick-Tolland-Granville Regional School District,07660000,       1,,,,,,,
Spencer-E Brookfield,07670000,       2,,,,,,,
Springfield,02810000,      56,     103,      29,      15,       5,       6,       1,
Stoneham,02840000,       8,,,,,,,
Stoughton,02850000,      18,      36,       7,       5,       5,       1,       0,
Sutton,02900000,       2,,,,,,,
Swampscott,02910000,       8,,,,,,,
Swansea,02920000,       1,,,,,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,       2,,,,,,,
Tantasqua,07700000,       2,,,,,,,
Taunton,02930000,      19,      41,       7,       4,       6,       2,       0,
Tewksbury,02950000,       6,,,,,,,
Triton,07730000,       4,,,,,,,
Tyngsborough,03010000,       5,,,,,,,
Upper Cape Cod Regional Vocational Technical,08790000,       2,,,,,,,
Uxbridge,03040000,       1,,,,,,,
Wachusett,07750000,      22,      47,      10,       4,       5,       1,       2,
Wakefield,03050000,      14,      35,       2,       6,       3,       3,       0,
Walpole,03070000,      19,      45,       8,       1,       6,       3,       1,
Waltham,03080000,      29,      71,       7,      13,       2,       5,       2,
Ware,03090000,       2,,,,,,,
Wareham,03100000,       2,,,,,,,
Watertown,03140000,      11,      17,       6,       4,       1,       0,       0,
Wayland,03150000,      61,     157,      21,      11,      12,       8,       9,
Webster,03160000,       5,,,,,,,
Wellesley,03170000,      79,     173,      34,      14,      17,      12,       2,
West Boylston,03220000,       1,,,,,,,
West Bridgewater,03230000,       2,,,,,,,
West Springfield,03320000,      15,      27,       6,       6,       3,       0,       0,
