"2018 Per Pupil Expenditures, All Funds ",,,,,,,,
District Name,District Code,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,
Milford,01850000,"59,833,119.00","           4,197.4","14,254.81","65,963,232.00","           4,503.2","14,648.08",
Millbury,01860000,"26,869,559.00","           1,706.5","15,745.42","29,146,302.00","           1,785.2","16,326.63",
Millis,01870000,"18,266,246.00","           1,284.9","14,216.08","19,725,621.00","           1,349.1","14,621.32",
Milton,01890000,"59,972,366.00","           4,185.3","14,329.29","66,128,041.00","           4,274.9","15,468.91",
Minuteman Regional Vocational Technical,08300000,"19,813,443.00",             564.3,"35,111.54","19,856,579.00",             568.1,"34,952.61",
Mohawk Trail,07170000,"18,557,127.00",             925.4,"20,053.09","21,228,527.00","           1,131.6","18,759.74",
Monomoy Regional School District,07120000,"34,697,635.00","           1,873.5","18,520.22","38,163,998.00","           2,180.4","17,503.21",
Monson,01910000,"15,269,369.00",             929.8,"16,422.21","17,034,724.00","           1,019.0","16,717.10",
Montachusett Regional Vocational Technical,08320000,"27,420,394.00","           1,413.9","19,393.45","27,737,433.00","           1,467.5","18,901.15",
Mount Greylock,07150000,"10,348,495.00",             531.5,"19,470.36","11,509,125.00",             579.3,"19,867.30",
Mystic Valley Regional Charter (District),04700000,"20,118,558.00","           1,563.7","12,866.24","20,118,558.00","           1,563.7","12,866.24",
Nahant,01960000,"2,733,406.00",             148.2,"18,444.04","4,484,315.00",             270.1,"16,602.43",
Nantucket,01970000,"35,658,480.00","           1,625.4","21,938.28","36,670,825.00","           1,636.0","22,414.93",
Narragansett,07200000,"18,335,704.00","           1,449.3","12,651.42","20,848,450.00","           1,606.0","12,981.60",
Nashoba,07250000,"53,555,039.00","           3,314.1","16,159.75","57,332,650.00","           3,455.9","16,589.79",
Nashoba Valley Regional Vocational Technical,08520000,"14,257,308.00",             695.2,"20,508.21","14,272,308.00",             695.2,"20,529.79",
Natick,01980000,"84,116,374.00","           5,474.0","15,366.53","92,303,763.00","           5,630.6","16,393.24",
Nauset,06600000,"29,551,080.00","           1,467.8","20,132.91","33,299,864.00","           1,607.9","20,710.16",
Needham,01990000,"97,724,271.00","           5,677.4","17,212.86","104,781,982.00","           5,773.5","18,148.78",
Neighborhood House Charter (District),04440000,"10,975,827.30",             551.7,"19,895.28","10,975,827.30",             551.7,"19,895.28",
New Bedford,02010000,"177,913,726.00","          12,735.8","13,969.58","201,876,072.00","          14,190.2","14,226.44",
New Heights Charter School of Brockton (District),35130000,"5,953,744.11",             417.5,"14,259.10","5,953,744.11",             417.5,"14,259.10",
New Salem-Wendell,07280000,"2,859,762.00",             158.9,"17,997.24","2,902,612.00",             167.3,"17,349.74",
Newburyport,02040000,"36,543,971.00","           2,260.7","16,164.89","41,857,884.00","           2,483.9","16,851.68",
Newton,02070000,"237,983,377.00","          12,893.1","18,458.20","252,956,052.00","          13,041.7","19,395.94",
Norfolk,02080000,"14,767,440.00",             962.0,"15,350.77","15,060,976.00",             973.4,"15,472.55",
Norfolk County Agricultural,09150000,"12,391,065.00",             534.7,"23,173.86","12,391,065.00",             534.7,"23,173.86",
North Adams,02090000,"23,886,895.00","           1,425.1","16,761.56","27,121,495.00","           1,626.7","16,672.71",
North Andover,02110000,"58,751,990.00","           4,846.8","12,121.81","64,952,771.00","           4,944.5","13,136.37",
North Attleborough,02120000,"52,800,393.00","           4,271.8","12,360.22","57,704,077.00","           4,468.2","12,914.39",
North Brookfield,02150000,"8,382,194.00",             564.1,"14,859.41","9,347,972.00",             688.4,"13,579.27",
North Middlesex,07350000,"46,103,807.00","           3,042.0","15,155.76","52,504,447.00","           3,272.0","16,046.59",
North Reading,02170000,"37,255,990.00","           2,478.3","15,032.88","40,126,022.00","           2,529.1","15,865.73",
Northampton,02100000,"39,007,016.00","           2,689.2","14,505.06","45,292,959.00","           2,982.2","15,187.77",
Northampton-Smith Vocational Agricultural,04060000,"10,984,368.00",             488.9,"22,467.51","10,984,368.00",             488.9,"22,467.51",
Northboro-Southboro,07300000,"23,691,853.00","           1,433.4","16,528.43","25,085,406.00","           1,475.1","17,005.90",
Northborough,02130000,"27,811,397.00","           1,647.2","16,884.04","30,425,724.00","           1,723.8","17,650.38",
Northbridge,02140000,"30,233,468.00","           2,150.0","14,062.08","34,641,346.00","           2,349.4","14,744.76",
Northeast Metropolitan Regional Vocational Technical,08530000,"26,479,891.00","           1,211.1","21,864.33","26,479,891.00","           1,211.1","21,864.33",
Northern Berkshire Regional Vocational Technical,08510000,"10,267,147.00",             474.4,"21,642.38","10,290,177.00",             476.4,"21,599.87",
Norton,02180000,"34,545,729.00","           2,460.3","14,041.27","39,836,333.00","           2,631.8","15,136.54",
Norwell,02190000,"33,304,533.00","           2,167.2","15,367.54","36,411,837.00","           2,212.8","16,455.10",
Norwood,02200000,"54,216,559.00","           3,420.7","15,849.55","61,033,724.00","           3,543.5","17,224.14",
Oak Bluffs,02210000,"9,721,354.00",             427.4,"22,745.33","10,624,258.00",             483.0,"21,996.39",
Old Colony Regional Vocational Technical,08550000,"11,737,742.00",             524.7,"22,370.39","11,756,017.00",             527.1,"22,303.20",
Old Rochester,07400000,"19,447,031.00","           1,254.5","15,501.82","19,565,451.00","           1,269.9","15,407.08",
Old Sturbridge Academy Charter Public School (District),35150000,"2,493,586.44",             159.9,"15,598.56","2,493,586.44",             159.9,"15,598.56",
Orange,02230000,"8,576,723.00",             591.1,"14,509.77","9,591,860.00",             682.1,"14,062.25",
Orleans,02240000,"5,197,072.00",             226.8,"22,914.78","5,364,756.00",             237.8,"22,559.95",
Oxford,02260000,"22,243,718.00","           1,686.1","13,192.41","25,619,269.00","           1,829.6","14,002.66",
Palmer,02270000,"20,319,468.00","           1,393.5","14,581.61","23,119,288.00","           1,514.2","15,268.32",
Pathfinder Regional Vocational Technical,08600000,"14,105,551.00",             605.1,"23,311.11","14,261,237.00",             620.5,"22,983.46",
Paulo Freire Social Justice Charter School (District),35010000,"4,646,119.70",             289.2,"16,066.53","4,646,119.70",             289.2,"16,066.53",
Peabody,02290000,"84,204,940.00","           5,924.1","14,213.96","93,082,777.00","           6,142.1","15,154.88",
Pelham,02300000,"2,324,775.00",             127.2,"18,276.53","2,457,180.00",             139.0,"17,677.56",
Pembroke,02310000,"39,202,597.00","           2,891.3","13,558.81","43,579,666.00","           3,037.6","14,346.74",
Pentucket,07450000,"36,340,452.00","           2,458.4","14,782.16","40,131,027.00","           2,560.7","15,671.90",
Petersham,02340000,"1,859,036.00",             116.3,"15,984.83","2,045,338.00",             131.5,"15,553.90",
Phoenix Academy Public Charter High School Springfield (District),35080000,"2,788,469.25",             190.5,"14,634.56","2,788,469.25",             190.5,"14,634.56",
Phoenix Charter Academy (District),04930000,"4,606,064.00",             197.0,"23,381.04","4,606,064.00",             197.0,"23,381.04",
Pioneer Charter School of Science (District),04940000,"9,644,826.08",             669.3,"14,409.46","9,644,826.08",             669.3,"14,409.46",
Pioneer Charter School of Science II (PCSS-II) (District),35060000,"5,067,028.69",             353.0,"14,353.38","5,067,028.69",             353.0,"14,353.38",
