2018 Advanced Course Completion Report (District)  - African American/Black,,,,,,,,,,
District Name,District Code,#_11_12_student_black,# _advanced_students_black,%_complete_advanced_black,%_ELA_black,%_math_black,%_science_tech_black,%_history_socialscience_black,%_arts_black,%_other_subjects_black
Southern Worcester County Regional Vocational Technical,08760000,           7,           2,  28.6,  28.6,  28.6,  28.6,  28.6,   0.0,  29.0
Southwick-Tolland-Granville Regional School District,07660000,           4,,,,,,,,
Spencer-E Brookfield,07670000,           1,,,,,,,,
Springfield,02810000,         675,         295,  43.7,  21.8,  34.2,  10.8,  12.1,   7.3,   8.0
Stoneham,02840000,          11,           5,  45.5,  27.3,  36.4,   9.1,  18.2,   0.0,   0.0
Stoughton,02850000,         133,          56,  42.1,   3.8,  36.8,   1.5,   4.5,   0.0,   5.0
Sturgis Charter Public (District),04890000,           9,           9, 100.0, 100.0, 100.0,  88.9, 100.0,  33.3,  67.0
Sutton,02900000,           1,,,,,,,,
Swampscott,02910000,          15,           5,  33.3,   6.7,  33.3,   0.0,  13.3,  20.0,   7.0
Swansea,02920000,           4,,,,,,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,          15,           7,  46.7,  13.3,  26.7,   6.7,  20.0,   0.0,   0.0
Tantasqua,07700000,           2,,,,,,,,
Taunton,02930000,         157,          58,  36.9,   8.3,  32.5,   6.4,  10.8,   0.0,   4.0
Tewksbury,02950000,          11,           7,  63.6,   0.0,  54.5,   0.0,  18.2,   9.1,   0.0
Triton,07730000,           1,,,,,,,,
Tyngsborough,03010000,           6,           5,  83.3,  16.7,  83.3,   0.0,   0.0,   0.0,   0.0
Upper Cape Cod Regional Vocational Technical,08790000,          14,           6,  42.9,  35.7,  42.9,  35.7,   0.0,   0.0,  36.0
Uxbridge,03040000,           5,,,,,,,,
Wachusett,07750000,          19,          13,  68.4,   5.3,  68.4,   5.3,  15.8,   0.0,   0.0
Wakefield,03050000,          13,           5,  38.5,   0.0,  38.5,   0.0,   0.0,   0.0,   0.0
Walpole,03070000,          26,           8,  30.8,   3.8,  26.9,  15.4,   0.0,   3.8,   0.0
Waltham,03080000,         103,          53,  51.5,   4.9,  46.6,   4.9,   8.7,   2.9,   5.0
Ware,03090000,           4,,,,,,,,
Wareham,03100000,          20,           3,  15.0,  15.0,  10.0,   0.0,   0.0,   0.0,   0.0
Watertown,03140000,          12,           5,  41.7,   0.0,  41.7,   8.3,   0.0,   0.0,   0.0
Wayland,03150000,          16,          14,  87.5,   0.0,  87.5,  12.5,   0.0,   0.0,  13.0
Webster,03160000,           4,,,,,,,,
Wellesley,03170000,          45,          24,  53.3,   0.0,  44.4,  28.9,  13.3,   0.0,   7.0
West Boylston,03220000,           2,,,,,,,,
West Bridgewater,03230000,           8,           8, 100.0, 100.0,  87.5,  87.5,  87.5,  62.5, 100.0
West Springfield,03320000,          25,           8,  32.0,  16.0,  28.0,   4.0,  16.0,   0.0,   0.0
Westborough,03210000,          14,           6,  42.9,   0.0,  42.9,   0.0,  21.4,   7.1,   7.0
Westfield,03250000,          24,          12,  50.0,  20.8,  29.2,   8.3,  29.2,   0.0,   0.0
Westford,03260000,           7,           4,  57.1,   0.0,  57.1,   0.0,  14.3,   0.0,   0.0
Weston,03300000,          22,          14,  63.6,   0.0,  63.6,   4.5,  31.8,   0.0,   0.0
Westport,03310000,           2,,,,,,,,
Westwood,03350000,          16,           9,  56.3,  12.5,  50.0,   6.3,   6.3,   0.0,   6.0
Weymouth,03360000,          43,          41,  95.3,  67.4,  83.7,  62.8,  55.8,  20.9,  51.0
Whitman-Hanson,07800000,          13,           6,  46.2,  38.5,  23.1,  23.1,  30.8,   0.0,   0.0
Whittier Regional Vocational Technical,08850000,          10,           6,  60.0,  40.0,  60.0,  40.0,  40.0,  20.0,  40.0
Wilmington,03420000,          11,           7,  63.6,   0.0,  63.6,   9.1,  18.2,   0.0,   0.0
Winchendon,03430000,           6,           2,  33.3,  16.7,  33.3,  16.7,  16.7,   0.0,   0.0
Winchester,03440000,           9,           9, 100.0,  77.8, 100.0, 100.0,  77.8,  44.4, 100.0
Winthrop,03460000,           4,,,,,,,,
Woburn,03470000,          49,          34,  69.4,   4.1,  65.3,  28.6,  12.2,   0.0,   8.0
Worcester,03480000,         594,         364,  61.3,  18.7,  39.6,  23.4,  17.7,   1.7,   8.0
State Totals,00000000,"      13,328","       6,656",  49.9,  15.1,  41.2,  14.8,  11.6,   1.9,   7.0
