2017-18 Advanced Placement Performance - All Subjects - Asian,,,,,,,,,
District Name,District Code,tests_taken_asian,score=1_asian,score=2_asian,score=3_asian,score=4_asian,score=5_asian,%_score_1-2_asian,%_score_3-5_asian
Pioneer Charter School of Science (District),04940000,      22,       1,       7,       2,       3,       9,  36.4,  63.6
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      34,       5,       4,      10,       4,      11,  26.5,  73.5
Pittsfield,02360000,      23,       6,       6,       8,       2,       1,  52.2,  47.8
Plymouth,02390000,      27,       5,       5,      10,       6,       1,  37.0,  63.0
Prospect Hill Academy Charter (District),04870000,      27,       3,       9,       8,       6,       1,  44.4,  55.6
Quabbin,07530000,       2,,,,,,,
Quincy,02430000,     481,      40,     103,     132,     118,      88,  29.7,  70.3
Ralph C Mahar,07550000,       2,,,,,,,
Randolph,02440000,     117,      29,      34,      28,      20,       6,  53.8,  46.2
Reading,02460000,      41,       1,       4,      14,      13,       9,  12.2,  87.8
Revere,02480000,      82,      10,       6,      26,      16,      24,  19.5,  80.5
Rockland,02510000,       4,,,,,,,
Roxbury Preparatory Charter (District),04840000,       2,,,,,,,
Sabis International Charter (District),04410000,       4,,,,,,,
Salem,02580000,      25,       2,       9,      10,       3,       1,  44.0,  56.0
Salem Academy Charter (District),04850000,      11,       5,       2,       1,       1,       2,  63.6,  36.4
Sandwich,02610000,       8,,,,,,,
Saugus,02620000,      29,       9,       7,       8,       3,       2,  55.2,  44.8
Scituate,02640000,      10,       0,       0,       4,       5,       1,    .0, 100.0
Seekonk,02650000,      15,       0,       0,       5,       5,       5,    .0, 100.0
Sharon,02660000,     295,       6,      19,      38,      77,     155,   8.5,  91.5
Shrewsbury,02710000,     287,       6,      19,      44,      96,     122,   8.7,  91.3
Silver Lake,07600000,      10,       1,       1,       2,       4,       2,  20.0,  80.0
Somerset Berkley Regional School District,07630000,      13,       2,       6,       1,       3,       1,  61.5,  38.5
Somerville,02740000,      98,       9,      36,      27,      11,      15,  45.9,  54.1
South Hadley,02780000,      12,       0,       6,       2,       2,       2,  50.0,  50.0
South Shore Charter Public (District),04880000,       4,,,,,,,
Southbridge,02770000,       3,,,,,,,
Southeastern Regional Vocational Technical,08720000,       5,,,,,,,
Southern Worcester County Regional Vocational Technical,08760000,       1,,,,,,,
Southwick-Tolland-Granville Regional School District,07660000,       2,,,,,,,
Spencer-E Brookfield,07670000,       3,,,,,,,
Springfield,02810000,     103,      45,      23,      21,       8,       6,  66.0,  34.0
Stoneham,02840000,      25,       0,       3,       5,       7,      10,  12.0,  88.0
Stoughton,02850000,      36,       8,       6,      15,       7,       0,  38.9,  61.1
Sutton,02900000,       3,,,,,,,
Swampscott,02910000,      17,       1,       3,       5,       6,       2,  23.5,  76.5
Swansea,02920000,       1,,,,,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,       3,,,,,,,
Tantasqua,07700000,       4,,,,,,,
Taunton,02930000,      41,       9,      14,      14,       4,       0,  56.1,  43.9
Tewksbury,02950000,      10,       1,       1,       4,       4,       0,  20.0,  80.0
Triton,07730000,       8,,,,,,,
Tyngsborough,03010000,       8,,,,,,,
Upper Cape Cod Regional Vocational Technical,08790000,       2,,,,,,,
Uxbridge,03040000,       3,,,,,,,
Wachusett,07750000,      47,       1,       3,       7,      23,      13,   8.5,  91.5
Wakefield,03050000,      35,       2,       6,       8,      12,       7,  22.9,  77.1
Walpole,03070000,      45,       1,       3,      11,      15,      15,   8.9,  91.1
Waltham,03080000,      71,       2,      17,      14,      23,      15,  26.8,  73.2
Ware,03090000,       2,,,,,,,
Wareham,03100000,       4,,,,,,,
Watertown,03140000,      17,       0,       7,       4,       2,       4,  41.2,  58.8
Wayland,03150000,     157,       1,       7,      24,      45,      80,   5.1,  94.9
Webster,03160000,       9,,,,,,,
Wellesley,03170000,     173,       6,       8,      18,      55,      86,   8.1,  91.9
West Boylston,03220000,       2,,,,,,,
West Bridgewater,03230000,       4,,,,,,,
West Springfield,03320000,      27,       4,      10,       7,       5,       1,  51.9,  48.1
Westborough,03210000,     222,      10,      15,      37,      79,      81,  11.3,  88.7
Westfield,03250000,      19,       3,       6,       6,       3,       1,  47.4,  52.6
Westford,03260000,     414,       0,      13,      67,     130,     204,   3.1,  96.9
Weston,03300000,     138,      10,       9,      40,      35,      44,  13.8,  86.2
Westport,03310000,       3,,,,,,,
Westwood,03350000,      81,       0,       3,      24,      25,      29,   3.7,  96.3
Weymouth,03360000,      39,       1,       9,      16,       7,       6,  25.6,  74.4
Whitman-Hanson,07800000,      12,       4,       5,       1,       2,       0,  75.0,  25.0
Wilmington,03420000,      50,       8,       8,      17,      10,       7,  32.0,  68.0
Winchendon,03430000,      10,       2,       2,       3,       3,       0,  40.0,  60.0
Winchester,03440000,     218,       2,      24,      50,      64,      78,  11.9,  88.1
Winthrop,03460000,       7,,,,,,,
Woburn,03470000,      40,       4,      12,      12,       7,       5,  40.0,  60.0
Worcester,03480000,     557,     221,     164,     101,      43,      28,  69.1,  30.9
State Totals,00000000,"  14,246","   1,314","   2,129","   3,043","   3,590","   4,170",  24.2,  75.8
