2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,,
District Name,District Code,male # Grade 11 and 12 Students,male # Students Completing Advanced,male % Students Completing Advanced,male % ELA,male % Math,male % Science and Technology,male % History and Social Sciences,male % Arts,male % All Other Subjects,male Ch 74 Secondary Cooperative Program
Malden,01650000,         444,         232,  52.3,   4.7,  41.2,  19.6,  18.9,   1.1,   3.0,   0.0
Manchester Essex Regional,06980000,          85,          67,  78.8,   5.9,  64.7,  57.6,  41.2,   0.0,  11.0,   0.0
Mansfield,01670000,         307,         182,  59.3,   9.1,  49.5,  15.3,  19.9,   1.6,   3.0,   0.0
Marblehead,01680000,         232,         162,  69.8,   6.5,  54.7,  31.9,   0.0,   0.0,   3.0,   0.0
Marlborough,01700000,         302,         281,  93.0,  70.9,  76.2,  52.6,  47.4,   3.0,  39.0,   0.0
Marshfield,01710000,         328,         256,  78.0,   9.5,  61.6,  39.6,  22.0,   0.9,   4.0,   0.0
Martha's Vineyard,07000000,         159,          87,  54.7,  14.5,  47.2,  13.8,  15.7,   2.5,   9.0,   0.0
Martha's Vineyard Charter (District),04660000,          10,          10, 100.0,   0.0,  50.0,  90.0,   0.0,   0.0,   0.0,   0.0
Masconomet,07050000,         280,         226,  80.7,   4.6,  78.6,  27.9,  22.9,   1.1,   9.0,   0.0
Mashpee,01720000,         110,          72,  65.5,  19.1,  63.6,  25.5,  17.3,   1.8,   3.0,   0.0
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,          42,           6,  14.3,   4.8,  11.9,   0.0,   0.0,   0.0,   0.0,   0.0
Maynard,01740000,          89,          56,  62.9,  13.5,  56.2,  13.5,  16.9,   0.0,   3.0,   0.0
Medfield,01750000,         202,         184,  91.1,   6.4,  88.6,  10.4,  58.9,   0.5,   4.0,   0.0
Medford,01760000,         352,         194,  55.1,  12.5,  51.1,   6.0,  15.3,   0.0,   9.0,   8.0
Medway,01770000,         190,         179,  94.2,  15.3,  93.2,  14.2,  36.3,   0.0,  16.0,   0.0
Melrose,01780000,         240,         168,  70.0,  19.6,  65.4,  24.6,  27.9,   0.0,  17.0,   0.0
Mendon-Upton,07100000,         142,         107,  75.4,  13.4,  62.0,  29.6,  26.1,   0.7,   7.0,   0.0
Methuen,01810000,         516,         245,  47.5,   7.0,  43.0,   9.7,  16.9,   0.0,   1.0,   0.0
Middleborough,01820000,         172,         157,  91.3,  52.9,  82.6,  48.3,  47.1,   9.3,  40.0,   0.0
Milford,01850000,         267,         150,  56.2,   9.0,  50.6,  18.4,  18.7,   0.4,   2.0,   0.0
Millbury,01860000,         106,         106, 100.0,  84.9,  84.0,  59.4,  65.1,  40.6,  98.0,   0.0
Millis,01870000,         102,          71,  69.6,   9.8,  64.7,   8.8,  20.6,   1.0,  24.0,   0.0
Milton,01890000,         241,         167,  69.3,  20.3,  52.3,  29.0,  35.7,   3.3,  15.0,   0.0
Minuteman Regional Vocational Technical,08300000,         166,          89,  53.6,   8.4,  41.6,  30.1,  16.9,   0.6,   4.0,   4.2
Mohawk Trail,07170000,          66,          28,  42.4,  15.2,  36.4,   6.1,  12.1,   0.0,   0.0,   0.0
Monomoy Regional School District,07120000,         127,          58,  45.7,  18.9,  35.4,  11.8,  17.3,   0.0,   6.0,   0.0
Monson,01910000,          72,          41,  56.9,  33.3,  51.4,  11.1,   8.3,   1.4,   0.0,   0.0
