2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,
District Name,District Code,#_11_12_student_male,# _advanced_students_male,%_complete_advanced_male,%_ELA_male,%_math_male,%_science_tech_male,%_history_socialscience_male,%_arts_male,%_other_subjects_male
Revere,2480000,492,324,65.9,3.3,64.8,7.9,12,0,4
Rising Tide Charter Public (District),4830000,73,52,71.2,0,69.9,35.6,0,0,0
Rockland,2510000,121,121,100,99.2,94.2,86.8,51.2,30.6,92
Rockport,2520000,74,52,70.3,6.8,66.2,25.7,21.6,0,0
Roxbury Preparatory Charter (District),4840000,34,34,100,100,100,100,61.8,0,38
Sabis International Charter (District),4410000,102,86,84.3,22.5,84.3,12.7,24.5,0,2
Salem,2580000,266,97,36.5,8.3,27.4,14.7,23.3,1.5,1
Salem Academy Charter (District),4850000,48,41,85.4,20.8,56.3,41.7,45.8,0,13
Sandwich,2610000,179,110,61.5,6.7,55.3,7.3,35.8,0,4
Saugus,2620000,144,144,100,86.1,93.1,66,64.6,55.6,98
Scituate,2640000,195,168,86.2,33.3,81,51.3,18.5,0,10
Seekonk,2650000,129,77,59.7,11.6,49.6,31,17.8,0,0
Sharon,2660000,282,225,79.8,4.3,75.9,25.5,45.7,0.4,14
Shawsheen Valley Regional Vocational Technical,8710000,372,270,72.6,55.1,71.2,23.7,36,0,56
Shrewsbury,2710000,383,336,87.7,7.6,87.7,30.8,21.9,1.6,3
Silver Lake,7600000,303,176,58.1,25.7,53.1,18.2,22.1,0.3,18
Sizer School: A North Central Charter Essential (District),4740000,34,11,32.4,0,32.4,0,0,0,0
Somerset Berkley Regional School District,7630000,218,204,93.6,59.6,60.6,47.2,60.1,6.4,26
Somerville,2740000,329,193,58.7,14.9,54.1,16.4,21.9,0,6
South Hadley,2780000,136,80,58.8,23.5,50,17.6,20.6,0,9
South Middlesex Regional Vocational Technical,8290000,204,119,58.3,22.1,51.5,29.9,19.6,0.5,24
South Shore Charter Public (District),4880000,58,41,70.7,17.2,60.3,27.6,13.8,0,0
South Shore Regional Vocational Technical,8730000,211,94,44.5,33.6,44.1,33.6,2.4,0,34
Southbridge,2770000,119,52,43.7,6.7,42.9,3.4,2.5,0,3
Southeastern Regional Vocational Technical,8720000,357,197,55.2,26.3,52.7,25.2,23.8,0,21
Southern Berkshire,7650000,41,19,46.3,0,31.7,26.8,12.2,0,0
Southern Worcester County Regional Vocational Technical,8760000,316,174,55.1,40.5,51.6,36.1,35.1,0,34
Southwick-Tolland-Granville Regional School District,7660000,123,39,31.7,3.3,24.4,13.8,4.9,0,6
Spencer-E Brookfield,7670000,81,62,76.5,6.2,76.5,3.7,11.1,0,0
Springfield,2810000,"1,523",553,36.3,13.7,29,6.5,6,5,8
Stoneham,2840000,140,94,67.1,9.3,61.4,6.4,15.7,0,9
Stoughton,2850000,277,128,46.2,1.8,45.5,7.9,4.7,0,8
Sturgis Charter Public (District),4890000,149,149,100,100,100,93.3,100,21.5,89
Sutton,2900000,106,84,79.2,43.4,72.6,36.8,17.9,0,8
Swampscott,2910000,169,101,59.8,7.7,56.2,12.4,32,2.4,7
Swansea,2920000,133,74,55.6,33.8,45.9,27.1,0,0,14
TEC Connections Academy Commonwealth Virtual School District,39020000,181,43,23.8,3.3,19.9,1.7,5,0,0
Tantasqua,7700000,307,168,54.7,19.2,49.8,25.4,4.6,1.3,2
Taunton,2930000,527,243,46.1,6.5,41.9,4.4,11.8,0,7
Tewksbury,2950000,253,163,64.4,0,60.5,1.6,24.5,5.9,1
Tri-County Regional Vocational Technical,8780000,261,155,59.4,27.6,59.4,30.3,23.8,0,24
Triton,7730000,166,93,56,4.2,48.8,8.4,24.1,0,8
Tyngsborough,3010000,133,95,71.4,6,69.2,21.1,3,0,0
Upper Cape Cod Regional Vocational Technical,8790000,201,134,66.7,43.8,66.7,42.3,0,0,42
Uxbridge,3040000,140,63,45,10.7,38.6,29.3,12.9,0,0
Wachusett,7750000,483,289,59.8,3.9,58.2,8.5,21.5,0.6,1
Wakefield,3050000,242,158,65.3,21.5,59.1,16.9,26,0.8,3
Walpole,3070000,274,150,54.7,11.3,42.3,23.7,10.2,1.8,7
Waltham,3080000,376,226,60.1,7.2,56.6,7.4,23.1,3.7,9
Ware,3090000,67,34,50.7,9,47.8,23.9,4.5,0,0
Wareham,3100000,139,30,21.6,14.4,18.7,13.7,0.7,0,1
Watertown,3140000,161,101,62.7,3.7,60.9,24.8,7.5,0,8
Wayland,3150000,224,193,86.2,3.6,80.4,18.8,18.3,2.7,25
Webster,3160000,116,65,56,25.9,33.6,31.9,13.8,0,11
Wellesley,3170000,371,311,83.8,0,80.3,51.5,15.6,0,15
West Boylston,3220000,57,31,54.4,1.8,52.6,10.5,15.8,0,0
West Bridgewater,3230000,80,80,100,82.5,80,90,83.8,58.8,100
West Springfield,3320000,316,114,36.1,16.5,30.7,10.4,12.7,0,1
Westborough,3210000,261,193,73.9,2.3,72,18.4,26.4,3.8,10
Westfield,3250000,423,197,46.6,13.9,35.7,13.7,15.8,0.2,8
Westford,3260000,419,275,65.6,5.7,58,32,26.5,3.3,13
Weston,3300000,179,111,62,0,61.5,12.3,34.1,0.6,5
Westport,3310000,90,40,44.4,10,37.8,13.3,7.8,2.2,1
Westwood,3350000,249,165,66.3,15.3,62.2,12.9,30.9,0.8,10
Weymouth,3360000,496,491,99,73.8,88.1,63.9,46.8,18.5,50
Whitman-Hanson,7800000,286,161,56.3,24.5,47.2,17.5,29,0,2
Whittier Regional Vocational Technical,8850000,350,228,65.1,45.7,65.1,42.6,42.6,11.1,43
Wilmington,3420000,218,134,61.5,6.9,59.6,15.6,21.1,0,1
Winchendon,3430000,84,27,32.1,15.5,26.2,7.1,10.7,0,0
Winchester,3440000,337,337,100,65.9,97,89.3,68.8,18.1,99
Winthrop,3460000,144,124,86.1,24.3,82.6,26.4,10.4,0,1
Woburn,3470000,341,202,59.2,2.1,51.6,24.3,10.9,0.3,1
Worcester,3480000,"1,737",938,54,10,41.8,18.9,14,1.4,9
State Totals,0,"71,384","44,214",61.9,17.3,54.7,23.6,20.9,2.3,13
