2017-18 Class Size by Race/Ethnicity Report ,,,,,,,,
District Name,District Code,%_class_aa,%class_asian,%_class_hispanic,%_class_white,%_class_native,%_class_islander,%_class_multirace
Greater New Bedford Regional Vocational Technical,8250000,8.1,0.8,21.5,65.3,0.5,0,3.9
Greenfield,1140000,2.4,1.4,19,71.9,0,0,5.3
Groton-Dunstable,6730000,0.9,6.1,1.7,89,0.2,0.1,1.9
Hadley,1170000,1.9,2.3,8.6,81,0.4,2.3,3.6
Halifax,1180000,1.7,0.5,2.8,92.1,0.3,0.2,2.5
Hamilton-Wenham,6750000,0.8,3.5,4,89.2,0.2,0.3,2.1
Hampden Charter School of Science East (District),4990000,28.2,2.5,31.5,36.1,0,0,1.6
Hampden-Wilbraham,6800000,2.6,2.5,6.2,85.3,0.2,0.1,3
Hampshire,6830000,0.9,0.7,3,93,0,0,2.4
Hancock,1210000,2.3,0,0,97.7,0,0,0
Hanover,1220000,0.8,2.1,2,94.6,0,0,0.5
Harvard,1250000,2.3,11.1,4.2,79.7,0,0,2.7
Hatfield,1270000,0.9,1.4,4.5,90.7,0,0,2.5
Haverhill,1280000,4.3,1.7,35.8,56,0.2,0.1,1.8
Hawlemont,6850000,0.6,0,10.6,82.5,0.6,0,5.6
Helen Y. Davis Leadership Academy Charter Public (District),4190000,77.6,0.4,19.8,0.9,0.4,0.4,0.4
Hill View Montessori Charter Public (District),4550000,5,0.7,22.9,68.4,0,0,3
Hilltown Cooperative Charter Public (District),4500000,0.5,1.4,6,80.7,0,0,11.5
Hingham,1310000,1.3,2.6,2.8,90.3,0,0,2.9
Holbrook,1330000,20.5,4.6,13.1,53.4,0.1,0,8.4
Holland,1350000,2.1,1.3,5.1,90.6,0,0,0.9
Holliston,1360000,1.1,7.8,4.7,83.2,0.1,0,3.1
Holyoke,1370000,3,0.7,80.4,14.6,0,0,1.2
Holyoke Community Charter (District),4530000,1.7,0.4,91.7,4.6,0,0,1.6
Hopedale,1380000,0.9,1.5,4.7,88.4,0.7,0.2,3.6
Hopkinton,1390000,0.9,14.6,3.2,78.2,0.3,0,2.8
Hudson,1410000,1.8,2.1,11,82.3,0.1,0,2.7
Hull,1420000,1.3,1.3,1.7,93.8,0,0,1.8
Innovation Academy Charter (District),4350000,4.5,7.8,7.1,76.1,0,0,4.5
Ipswich,1440000,1.2,1.7,5,88.4,0,0,3.8
KIPP Academy Boston Charter School (District),4630000,69.2,0.4,29,0.4,0,0,1.1
KIPP Academy Lynn Charter (District),4290000,20.6,3.2,66.5,6.3,0.2,0,3.1
King Philip,6900000,1.9,1.8,2.1,92,0,0,2.1
Kingston,1450000,0.8,0.5,2.6,95.1,0.5,0,0.5
Lanesborough,1480000,2.3,0,1.9,93.9,0.5,0,1.4
Lawrence,1490000,1.2,1.2,93.4,3.8,0,0,0.3
Lawrence Family Development Charter (District),4540000,0.8,0,98.4,0.8,0,0,0
Lee,1500000,0.6,2.6,8.5,84.9,0.1,0,3.2
Leicester,1510000,4.9,2.6,8.5,80.7,0.3,0.1,2.8
Lenox,1520000,0.8,4.9,7.4,84,0,0,2.9
Leominster,1530000,7.8,3.3,34.2,50.4,0.1,0,4
Leverett,1540000,0,0,6.3,82.7,0,0,11
Lexington,1550000,4,38.3,3.6,47.4,0.1,0,6.5
Libertas Academy Charter School (District),35140000,13.2,0,83.5,2.2,0,0,1.1
Lincoln,1570000,9.3,3.8,16.8,60.6,0.3,0.1,9.2
Lincoln-Sudbury,6950000,4.5,6.5,4.7,79.8,0.1,0.1,4.4
Littleton,1580000,1.1,7.8,1.9,86.1,0.2,0.2,2.7
Longmeadow,1590000,2.5,9.5,4.7,79.3,0.1,0.1,3.8
Lowell,1600000,8.2,28.4,32.6,27.1,0.1,0,3.8
Lowell Community Charter Public (District),4560000,26.6,20.1,46.8,3.1,0,0,3.4
Lowell Middlesex Academy Charter (District),4580000,4.6,26.6,32.1,30.3,0,0,6.4
Ludlow,1610000,1.8,0.4,9.9,84.9,0.4,0,2.6
Lunenburg,1620000,2.1,2.3,7.1,85.8,0.4,0.4,2
Lynn,1630000,9.5,8.8,62.2,15.7,0.3,0,3.5
Lynnfield,1640000,1.6,5.3,5.4,85.4,0,0,2.3
MATCH Charter Public School (District),4690000,46.8,0.9,47.7,2.2,0.5,0.1,1.8
Ma Academy for Math and Science,4680000,0,48,6,34,0,0,12
Malden,1650000,19.6,23.6,23.5,29.1,0.1,0,4
Manchester Essex Regional,6980000,0.4,0.8,1.1,96.8,0,0,0.9
Mansfield,1670000,3.5,6.1,4.5,82.3,0.1,0,3.5
Marblehead,1680000,2.7,1.7,6.8,86.1,0.1,0,2.6
Marblehead Community Charter Public (District),4640000,5.2,4.3,1.7,85.2,0.9,0,2.6
Marion,1690000,2.6,1.3,3.5,87.4,0.4,0,4.6
Marlborough,1700000,3.6,3.6,48.1,42.1,0.1,0.1,2.5
Marshfield,1710000,0.5,1.2,2.9,93.6,0.2,0.1,1.6
Martha's Vineyard,7000000,3.6,1.4,13.6,74.5,2.2,0.3,4.4
Martha's Vineyard Charter (District),4660000,3.7,1.1,10.1,73.4,2.1,0,9.6
Martin Luther King Jr. Charter School of Excellence (District),4920000,35.8,1.4,55.3,2.5,0,0,5
Masconomet,7050000,0.5,3.6,2.4,91.3,0.2,0.1,2.1
Mashpee,1720000,4.3,2.1,4.6,74.7,6.4,0.1,7.9
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,10.2,2.5,19,59.4,0.2,0.7,8
Mattapoisett,1730000,1.1,1.8,2.7,89.3,0,0,5.1
Maynard,1740000,3,2,12.1,77.8,0.1,0,5
Medfield,1750000,1.1,4.3,3.9,87.2,0.3,0.1,3.2
Medford,1760000,13.6,9.6,11.7,60,0.3,0.1,4.8
Medway,1770000,1.4,2.7,3.7,89.8,0.1,0.1,2.1
Melrose,1780000,6.2,5,4.7,79.1,0.1,0,4.9
Mendon-Upton,7100000,0.5,2.2,3.9,90.5,0,0,2.8
Methuen,1810000,1.6,3.8,39.9,49.8,0.1,0.1,4.7
Middleborough,1820000,2.6,0.9,3.5,88.2,0.9,0,3.8
Middleton,1840000,0.6,4.6,2.8,87.8,0.4,0,3.8
Milford,1850000,3,2.3,27.8,61.8,1.6,0.1,3.4
Millbury,1860000,2.3,2.7,7.4,83.1,0.1,0,4.5
Millis,1870000,1.5,2.1,7.7,84.9,0.3,0.1,3.4
Milton,1890000,14.9,7,4.4,69.2,0.1,0.2,4.3
Minuteman Regional Vocational Technical,8300000,3.9,4.3,9.2,79.6,0,0,3
Mohawk Trail,7170000,0.3,0.6,4.4,91.3,0.2,0.1,3.1
Monomoy Regional School District,7120000,6.3,1.4,6.8,79.9,0.6,0.2,4.9
Monson,1910000,0.9,0.8,3.6,91.5,0.1,0.6,2.4
Montachusett Regional Vocational Technical,8320000,1.7,1.1,14.4,79,0.1,0,3.7
Mount Greylock,7150000,0.9,1.9,2.8,90.3,0,0,4.1
Mystic Valley Regional Charter (District),4700000,17.3,19.5,9.4,49.3,0.3,0,4.1
Nahant,1960000,0,1.3,4.7,93.3,0,0,0.7
Nantucket,1970000,10.6,1.6,31.1,53,0.1,0.1,3.6
Narragansett,7200000,1.1,0.3,6.4,88.7,0.1,0.1,3.3
Nashoba,7250000,1,3.2,4.7,88.1,0.1,0.1,2.8
Nashoba Valley Regional Vocational Technical,8520000,1.2,1.6,5.2,89.3,0.6,0,2.1
Natick,1980000,2.6,9.6,6,76.5,0.1,0.1,5.1
Nauset,6600000,5,2.8,4.2,84.4,0.1,0.1,3.3
Needham,1990000,3,9,5.6,77.4,0.1,0,4.9
Neighborhood House Charter (District),4440000,53.3,2.6,18.8,19,0.7,0,5.5
New Bedford,2010000,12.5,1,40.5,40.2,0.4,0.1,5.3
New Heights Charter School of Brockton (District),35130000,88.4,1.1,8.1,1.7,0.2,0,0.4
New Salem-Wendell,7280000,0,1.9,5,88.1,0,0,5
Newburyport,2040000,1.1,1.8,3.9,91.1,0,0,2
Newton,2070000,4.8,18.5,7.7,62.6,0.1,0.1,6.2
Norfolk,2080000,0.8,2.5,3.2,90.3,0,0,3.1
Norfolk County Agricultural,9150000,1.3,1.5,3.3,90.2,0.7,0,3.1
North Adams,2090000,3,0.3,6.3,82.9,0.2,0.1,7
North Andover,2110000,3.4,8.2,10.5,74.8,0.2,0.2,2.7
North Attleborough,2120000,3,6.2,5,81.6,0.2,0.1,3.9
North Brookfield,2150000,1.1,0.4,5.5,89.7,0,0,3.4
North Middlesex,7350000,1.6,1.1,3.9,90,0.1,0.1,3.3
North Reading,2170000,0.8,3.8,3.4,89,0.1,0.2,2.7
Northampton,2100000,2.6,4.2,17,69.9,0.2,0,6
Northampton-Smith Vocational Agricultural,4060000,1.2,0.8,15.6,80.5,0,0,1.8
Northboro-Southboro,7300000,1.3,10.7,5.7,79,0.3,0.2,2.8
Northborough,2130000,1.9,12.3,7.3,73.7,0.4,0.6,3.9
Northbridge,2140000,0.8,0.9,8,86.2,0,0.1,4
Northeast Metropolitan Regional Vocational Technical,8530000,2.9,1.3,30.4,63.3,0,0.2,1.9
Northern Berkshire Regional Vocational Technical,8510000,1,0,1.7,94.2,0.2,0,2.9
Norton,2180000,1.9,1.9,3.7,88.5,0.2,0.1,3.7
Norwell,2190000,0.5,2,1.8,93.3,0,0.2,2.3
Norwood,2200000,10.8,7.2,12.5,66.5,0,0.4,2.6
Oak Bluffs,2210000,3.9,1.6,25.3,60.3,1.6,0.5,6.7
Old Colony Regional Vocational Technical,8550000,2.1,0.8,2.1,93.6,0.2,0,1.3
Old Rochester,7400000,2.1,2.1,1.3,91.5,0.1,0,2.9
Old Sturbridge Academy Charter Public School (District),35150000,7,0.6,10.8,81.6,0,0,0
Orange,2230000,1.4,0.5,8.1,86.6,0.2,0,3.3
Orleans,2240000,3.9,1.8,5.7,86.8,0,0,1.8
Oxford,2260000,2.5,1.3,11.4,79.7,0.2,0.1,4.8
Palmer,2270000,2.8,2.7,11.5,78.2,0,0.1,4.7
Pathfinder Regional Vocational Technical,8600000,0.5,0.6,6.1,89.4,0.2,0,3.2
Paulo Freire Social Justice Charter School (District),35010000,3.3,0,90.7,5.7,0,0.3,0
Peabody,2290000,3.8,1.8,14.4,78.2,0,0,1.8
Pelham,2300000,0.8,3.9,9.4,81.1,0,0,4.7
Pembroke,2310000,0.6,1,0.4,96.3,0.1,0.1,1.5
Pentucket,7450000,0.4,1.5,4.2,92.2,0,0,1.7
Petersham,2340000,0,0.9,4.3,90.4,0,0,4.3
Phoenix Academy Public Charter High School Springfield (District),35080000,22.1,1.9,66.9,4.5,0,0,4.5
Phoenix Charter Academy (District),4930000,17.8,0.6,75.7,5.3,0.6,0,0
Pioneer Charter School of Science (District),4940000,28.4,8.5,30,30.6,1.5,0.1,0.7
Pioneer Charter School of Science II (PCSS-II) (District),35060000,33.4,14.9,23.8,26.2,0,0,1.7
Pioneer Valley,7500000,0.6,0.5,2,92.7,0.1,0,4
Pioneer Valley Chinese Immersion Charter (District),4970000,6.5,18.3,6.9,55.2,0,0,13.2
Pioneer Valley Performing Arts Charter Public (District),4790000,9.2,2.2,14.9,67.3,0,0,6.4
Pittsfield,2360000,10.8,1.4,13.7,65.2,0.3,0.1,8.6
Plainville,2380000,3.6,4.3,6.6,83.1,0.4,0,1.9
Plymouth,2390000,1.9,1.2,5.1,87.2,0.2,0,4.3
Plympton,2400000,0,0.5,2,95.6,0.5,0,1.5
Prospect Hill Academy Charter (District),4870000,54.5,8.2,20.8,13.4,0.3,0.1,2.7
Provincetown,2420000,28.3,0,13.3,51.7,0,0,6.7
Quabbin,7530000,0.7,0.7,4.8,91.5,0.1,0.1,2.2
Quaboag Regional,7780000,0.9,0.1,6.9,89.1,0,0,3
Quincy,2430000,7,38.8,5.9,44.7,0.2,0.4,3
Ralph C Mahar,7550000,2,1.8,9.1,82.8,0,0,4.4
Randolph,2440000,50.6,16.6,14.6,12.1,0.4,0.3,5.3
Reading,2460000,2.7,5.2,2.3,87.4,0.1,0,2.2
Revere,2480000,3.9,4.8,54.2,34.6,0.3,0,2
Richmond,2490000,1.1,0,6,89.6,0,0,3.3
Rising Tide Charter Public (District),4830000,1.4,2.7,2.7,88,0.3,0,5
River Valley Charter (District),4820000,0.7,2.8,2.8,89.2,0.3,0,4.2
Rochester,2500000,1.4,0,1.4,90.9,0,0,6.3
Rockland,2510000,4.9,1.1,14,76.4,0,0,3.7
Rockport,2520000,0.5,1.4,1.5,96.3,0,0,0.2
Rowe,2530000,0,0,5.9,88.2,0,0,5.9
Roxbury Preparatory Charter (District),4840000,56.9,0.9,39.7,1.3,0.2,0.1,0.8
Sabis International Charter (District),4410000,30.2,3.9,39.5,21,0,0,5.4
Salem,2580000,7,3,38.8,46.3,0,0,4.8
Salem Academy Charter (District),4850000,8.8,4.9,40.6,43.4,0,0,2.4
Sandwich,2610000,1,2.3,2.7,92.8,0.6,0.1,0.6
Saugus,2620000,4.3,5.1,17.5,70.1,0.5,0.1,2.4
Savoy,2630000,3.4,0,3.4,93.1,0,0,0
Scituate,2640000,2.7,1.1,1.4,93.2,0,0,1.6
Seekonk,2650000,1.9,3.1,4.5,87.4,0,0,2.9
Seven Hills Charter Public (District),4860000,45.3,0,44.4,7.2,0,0,3.1
Sharon,2660000,4.9,28.6,4.9,56.4,0.1,0.1,5
Shawsheen Valley Regional Vocational Technical,8710000,1.4,0.8,4.7,91.1,0.2,0,1.8
Sherborn,2690000,2.8,7.9,3,79.4,0,0,6.8
Shrewsbury,2710000,2.5,29.9,8.5,55.3,0.3,0,3.5
Shutesbury,2720000,1.6,0.8,7.2,83.2,0.8,0,6.4
Silver Hill Horace Mann Charter (District),4770000,3.8,2,23.5,68.7,0,0,2
Silver Lake,7600000,1.4,1,1.3,95.7,0,0.2,0.5
Sizer School: A North Central Charter Essential (District),4740000,5.3,1.1,21.9,68.6,0,0,3.1
Somerset,2730000,1.3,1.3,4.2,91.3,0.1,0.1,1.9
Somerset Berkley Regional School District,7630000,1.5,1.6,3,92.4,0,0.2,1.4
Somerville,2740000,10.1,6.7,43.1,36.3,0.1,0,3.7
South Hadley,2780000,2.1,2.2,13.1,80.5,0.1,0.1,2
South Middlesex Regional Vocational Technical,8290000,6.3,0.1,43.1,46.5,1.1,0,2.9
South Shore Charter Public (District),4880000,27.2,4.6,2.6,58.6,0.4,0.1,6.5
South Shore Regional Vocational Technical,8730000,1.9,1.1,4.5,89.7,0,0,2.8
Southampton,2750000,0.2,1.2,5.6,90.3,0.2,0,2.5
Southborough,2760000,0.8,18.2,5,70.7,0.2,0.2,5
Southbridge,2770000,1.8,1.4,56.2,38.5,0.3,0,1.7
Southeastern Regional Vocational Technical,8720000,33.9,1.6,11.9,47.5,0,0,5.2
Southern Berkshire,7650000,1.2,0,6.8,86.7,0.7,0,4.6
Southern Worcester County Regional Vocational Technical,8760000,0.7,0.5,9.3,88.1,0.1,0,1.3
Southwick-Tolland-Granville Regional School District,7660000,1.8,1,4.5,90.6,0.1,0,1.9
Spencer-E Brookfield,7670000,1.7,1,11.5,82.3,0.3,0,3.2
Springfield,2810000,19,2.3,65.7,11.1,0.1,0,1.7
Springfield Preparatory Charter School (District),35100000,24.8,2.3,64.5,6.1,0,0,2.3
Stoneham,2840000,2.4,4.9,7.5,81.4,0.3,0,3.5
Stoughton,2850000,22.6,6.2,10.9,55.2,0.2,0.3,4.7
Sturbridge,2870000,0.9,1.1,4.8,89.1,0.7,0.1,3.3
Sturgis Charter Public (District),4890000,2.3,3.6,4.7,84.7,0.5,0,4.1
Sudbury,2880000,3.2,9.2,3.5,77.2,0,0.1,6.8
Sunderland,2890000,3.4,7.6,9.7,68.2,0,0,11
Sutton,2900000,0.8,1.3,2.1,91.6,0.1,0,4.1
Swampscott,2910000,3,2.8,10.5,81,0.2,0.1,2.3
Swansea,2920000,0.7,0.9,2.1,94.6,0.2,0,1.5
TEC Connections Academy Commonwealth Virtual School District,39020000,6.4,2.6,14.5,69.2,0.4,0.2,6.7
Tantasqua,7700000,0.7,0.9,5.1,90.6,0.2,0,2.6
Taunton,2930000,15.8,1.4,11.9,65.4,0.2,0.2,5.1
Tewksbury,2950000,3.1,3.4,4,88.4,0,0.1,0.9
