2018 Advanced Course Completion Report (District)  - Hispanic or Latino,,,,,,,,,,,
District Name,District Code,#_11_12_student_hispanic,# _advanced_students_hispanic,%_complete_advanced_hispanic,%_ELA_hispanic,%_math_hispanic,%_science_tech_hispanic,%_history_socialscience_hispanic,%_arts_hispanic,%_other_subjects_hispanic,
Palmer,02270000,          15,           7,  46.7,  20.0,  26.7,  13.3,   6.7,   0.0,   7.0,
Pathfinder Regional Vocational Technical,08600000,          20,           5,  25.0,  15.0,  25.0,   5.0,   5.0,   0.0,   5.0,
Paulo Freire Social Justice Charter School (District),35010000,         121,          39,  32.2,  12.4,  29.8,   3.3,   9.1,   0.8,   7.0,
Peabody,02290000,         112,          25,  22.3,   0.0,  16.1,   8.9,   6.3,   0.9,   4.0,
Pembroke,02310000,           2,,,,,,,,,
Pentucket,07450000,           7,           3,  42.9,  14.3,  42.9,  14.3,  14.3,   0.0,  14.0,
Phoenix Academy Public Charter High School Springfield (District),35080000,          15,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,
Phoenix Charter Academy (District),04930000,          20,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,
Pioneer Charter School of Science (District),04940000,          18,          12,  66.7,   5.6,  61.1,  11.1,   5.6,   0.0,   0.0,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,          16,          14,  87.5,  12.5,  62.5,  37.5,  37.5,   0.0,   6.0,
Pioneer Valley Chinese Immersion Charter (District),04970000,           1,,,,,,,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,          17,           8,  47.1,  11.8,  35.3,   5.9,  11.8,   0.0,   0.0,
Pittsfield,02360000,          76,          33,  43.4,   9.2,  31.6,   3.9,   7.9,   2.6,  13.0,
Plymouth,02390000,          52,          35,  67.3,  11.5,  53.8,  13.5,  30.8,   5.8,  12.0,
Prospect Hill Academy Charter (District),04870000,          29,          24,  82.8,  41.4,  58.6,  41.4,  31.0,   0.0,  45.0,
Quabbin,07530000,          18,          18, 100.0, 100.0,  55.6,  11.1,  27.8,   5.6,  17.0,
Quaboag Regional,07780000,          16,           5,  31.3,  12.5,  31.3,  12.5,  25.0,   0.0,   0.0,
Quincy,02430000,          83,          23,  27.7,   2.4,  25.3,   2.4,   9.6,   0.0,   2.0,
Ralph C Mahar,07550000,          26,           9,  34.6,   0.0,  23.1,  26.9,   3.8,   3.8,   0.0,
Randolph,02440000,          39,          14,  35.9,  12.8,  23.1,  12.8,  10.3,   0.0,   0.0,
Reading,02460000,          11,           3,  27.3,   0.0,  27.3,   0.0,   9.1,   0.0,   9.0,
Revere,02480000,         547,         323,  59.0,   2.9,  58.3,   6.2,  11.0,   0.2,   4.0,
