2017-18 Advanced Placement Performance - All Subjects - High Needs,,,,,,,,,
District Name,District Code,tests_taken_highneeds,score=1_highneeds,score=2_highneeds,score=3_highneeds,score=4_highneeds,score=5_highneeds,%_score_1-2_highneeds,%_score_3-5_highneeds
Lenox,01520000,      10,       0,       1,       4,       5,       0,  10.0,  90.0
Leominster,01530000,      71,       8,      33,      17,       7,       6,  57.7,  42.3
Lexington,01550000,     135,       8,       6,      26,      37,      58,  10.4,  89.6
Lincoln-Sudbury,06950000,      22,       0,       3,       1,       7,      11,  13.6,  86.4
Littleton,01580000,       4,,,,,,,
Longmeadow,01590000,      27,       2,       3,      10,      10,       2,  18.5,  81.5
Lowell,01600000,     182,      41,      60,      48,      27,       6,  55.5,  44.5
Ludlow,01610000,      47,       9,      14,      12,       9,       3,  48.9,  51.1
Lunenburg,01620000,      24,       2,      12,       8,       1,       1,  58.3,  41.7
Lynn,01630000,     278,      99,      79,      65,      28,       7,  64.0,  36.0
Lynnfield,01640000,      42,       4,       7,      12,      11,       8,  26.2,  73.8
MATCH Charter Public School (District),04690000,      89,      21,      30,      23,      15,       0,  57.3,  42.7
Ma Academy for Math and Science,04680000,       3,,,,,,,
Malden,01650000,     335,     108,      80,      79,      47,      21,  56.1,  43.9
Manchester Essex Regional,06980000,      36,       6,       3,      13,       8,       6,  25.0,  75.0
Mansfield,01670000,      12,       0,       3,       4,       5,       0,  25.0,  75.0
Marblehead,01680000,      32,       1,       8,       7,      14,       2,  28.1,  71.9
Marlborough,01700000,      93,      25,      30,      24,      12,       2,  59.1,  40.9
Marshfield,01710000,      49,       2,      11,      15,      13,       8,  26.5,  73.5
Martha's Vineyard,07000000,      31,       6,       7,      12,       5,       1,  41.9,  58.1
Masconomet,07050000,      15,       0,       3,       3,       8,       1,  20.0,  80.0
Mashpee,01720000,      30,       1,      13,      11,       5,       0,  46.7,  53.3
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,       5,,,,,,,
Maynard,01740000,       6,,,,,,,
Medfield,01750000,      34,       3,       4,      14,       7,       6,  20.6,  79.4
Medford,01760000,      41,       2,       5,      10,      12,      12,  17.1,  82.9
Medway,01770000,      35,       4,       8,       9,      10,       4,  34.3,  65.7
Melrose,01780000,      34,       8,      10,       5,       9,       2,  52.9,  47.1
Mendon-Upton,07100000,      32,       4,       9,      11,       8,       0,  40.6,  59.4
Methuen,01810000,     116,      22,      42,      21,      19,      12,  55.2,  44.8
Middleborough,01820000,      29,       3,      11,      10,       5,       0,  48.3,  51.7
Milford,01850000,      51,      15,       9,      13,       9,       5,  47.1,  52.9
Millbury,01860000,      17,       3,       5,       6,       2,       1,  47.1,  52.9
Millis,01870000,      13,       1,       4,       5,       2,       1,  38.5,  61.5
Milton,01890000,      59,       6,      11,      15,      19,       8,  28.8,  71.2
Minuteman Regional Vocational Technical,08300000,       8,,,,,,,
Mohawk Trail,07170000,      17,       2,       6,       5,       4,       0,  47.1,  52.9
Monomoy Regional School District,07120000,      41,       3,      11,      11,      10,       6,  34.1,  65.9
Monson,01910000,      20,       3,       4,       7,       6,       0,  35.0,  65.0
Montachusett Regional Vocational Technical,08320000,      21,       4,      12,       1,       4,       0,  76.2,  23.8
Mount Greylock,07150000,      24,       5,       7,       4,       5,       3,  50.0,  50.0
Nantucket,01970000,      30,       5,       9,       5,       2,       9,  46.7,  53.3
Narragansett,07200000,      26,       7,      13,       5,       1,       0,  76.9,  23.1
Nashoba,07250000,      21,       2,       2,       5,       3,       9,  19.0,  81.0
Nashoba Valley Regional Vocational Technical,08520000,      41,      16,      16,       7,       1,       1,  78.0,  22.0
Natick,01980000,      66,       8,      14,      16,      18,      10,  33.3,  66.7
Nauset,06600000,      87,       2,      11,      24,      31,      19,  14.9,  85.1
Needham,01990000,      52,       0,       4,      10,      15,      23,   7.7,  92.3
New Bedford,02010000,     157,      43,      48,      42,      16,       8,  58.0,  42.0
Newburyport,02040000,      15,       2,       1,       9,       2,       1,  20.0,  80.0
Newton,02070000,     236,      10,      25,      41,      67,      93,  14.8,  85.2
North Adams,02090000,     105,      68,      25,       6,       4,       2,  88.6,  11.4
North Andover,02110000,      19,       3,       2,       8,       5,       1,  26.3,  73.7
North Attleborough,02120000,      29,       0,       3,      12,       9,       5,  10.3,  89.7
North Brookfield,02150000,       9,,,,,,,
North Middlesex,07350000,      31,       2,       7,      12,       6,       4,  29.0,  71.0
North Reading,02170000,      26,       2,       9,       6,       4,       5,  42.3,  57.7
Northampton,02100000,      54,      11,      14,      14,       6,       9,  46.3,  53.7
Northampton-Smith Vocational Agricultural,04060000,       5,,,,,,,
Northboro-Southboro,07300000,      31,       3,       1,       5,      12,      10,  12.9,  87.1
Northbridge,02140000,      37,      13,      12,       9,       3,       0,  67.6,  32.4
Northeast Metropolitan Regional Vocational Technical,08530000,       8,,,,,,,
Northern Berkshire Regional Vocational Technical,08510000,       7,,,,,,,
Norton,02180000,      12,       0,       3,       3,       4,       2,  25.0,  75.0
Norwell,02190000,      23,       2,       5,      12,       3,       1,  30.4,  69.6
Norwood,02200000,      21,       2,       5,       8,       5,       1,  33.3,  66.7
Old Rochester,07400000,      43,       5,      10,      21,       5,       2,  34.9,  65.1
Oxford,02260000,      38,      16,      14,       3,       5,       0,  78.9,  21.1
Palmer,02270000,      24,       7,       9,       2,       4,       2,  66.7,  33.3
Pathfinder Regional Vocational Technical,08600000,      22,      12,      10,       0,       0,       0, 100.0,    .0
Peabody,02290000,      97,      21,      28,      29,       9,      10,  50.5,  49.5
Pembroke,02310000,      44,      11,       7,      16,       8,       2,  40.9,  59.1
Pentucket,07450000,      25,       0,       8,       8,       4,       5,  32.0,  68.0
Pioneer Charter School of Science (District),04940000,      33,       2,      13,      11,       4,       3,  45.5,  54.5
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      32,       7,       4,       8,       9,       4,  34.4,  65.6
Pioneer Valley,07500000,       4,,,,,,,
Pittsfield,02360000,     142,      36,      51,      29,      12,      14,  61.3,  38.7
Plymouth,02390000,     142,      28,      47,      32,      28,       7,  52.8,  47.2
Prospect Hill Academy Charter (District),04870000,      61,      21,      14,      13,       8,       5,  57.4,  42.6
Quabbin,07530000,      24,       6,       7,       6,       5,       0,  54.2,  45.8
Quaboag Regional,07780000,      48,       4,      10,      12,      13,       9,  29.2,  70.8
Quincy,02430000,     239,      17,      46,      64,      67,      45,  26.4,  73.6
Ralph C Mahar,07550000,      19,       6,       6,       7,       0,       0,  63.2,  36.8
Randolph,02440000,      93,      35,      29,      18,       8,       3,  68.8,  31.2
Reading,02460000,      12,       1,       2,       5,       2,       2,  25.0,  75.0
Revere,02480000,     206,      39,      42,      53,      44,      28,  39.3,  60.7
Rising Tide Charter Public (District),04830000,       6,,,,,,,
Rockland,02510000,      26,       9,       8,       6,       3,       0,  65.4,  34.6
Rockport,02520000,       5,,,,,,,
Roxbury Preparatory Charter (District),04840000,     298,     143,      97,      47,      10,       1,  80.5,  19.5
Sabis International Charter (District),04410000,      24,       1,      15,       4,       2,       2,  66.7,  33.3
Salem,02580000,     105,      40,      26,      24,      12,       3,  62.9,  37.1
Salem Academy Charter (District),04850000,      38,      19,       4,       5,       5,       5,  60.5,  39.5
