2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white
Freetown-Lakeville,06650000,         353,         220,  62.3,  24.4,  53.5,  25.8,  31.7,   2.8,   5.0
Frontier,06700000,         163,         128,  78.5,  17.8,  74.2,  16.0,  30.7,   0.0,   1.0
Gardner,01030000,         191,         145,  75.9,  18.3,  74.3,  22.0,   6.3,   1.6,   0.0
Gateway,06720000,          79,          52,  65.8,  24.1,  53.2,  29.1,  20.3,   0.0,   1.0
Georgetown,01050000,         190,         106,  55.8,  11.1,  52.6,   3.2,  12.1,   0.0,   5.0
Gill-Montague,06740000,          95,          62,  65.3,  33.7,  54.7,  12.6,  12.6,   3.2,  18.0
Global Learning Charter Public (District),04960000,          47,          30,  63.8,   0.0,  51.1,  29.8,   0.0,   0.0,   0.0
Gloucester,01070000,         332,         174,  52.4,  19.6,  46.1,  16.0,  13.0,   0.0,   3.0
Grafton,01100000,         341,         157,  46.0,  22.3,  30.2,  14.7,  19.6,   0.0,   4.0
Granby,01110000,          92,          70,  76.1,  40.2,  54.3,  17.4,  20.7,   1.1,  15.0
Greater Fall River Regional Vocational Technical,08210000,         537,         295,  54.9,  43.8,  54.7,  43.6,  43.6,   0.2,  43.0
Greater Lawrence Regional Vocational Technical,08230000,         109,          75,  68.8,  33.0,  49.5,  56.9,  26.6,   0.0,  27.0
Greater Lowell Regional Vocational Technical,08280000,         452,         437,  96.7,  88.9,  92.7,  59.1,  30.5,   1.3,  43.0
Greater New Bedford Regional Vocational Technical,08250000,         675,         540,  80.0,  48.1,  56.3,  53.2,  66.2,   0.0,  20.0
Greenfield,01140000,         120,          58,  48.3,  35.0,  37.5,  27.5,  27.5,   1.7,   9.0
Groton-Dunstable,06730000,         378,         313,  82.8,  20.4,  77.2,  40.2,  11.4,   1.6,   8.0
Hadley,01170000,          67,          55,  82.1,  41.8,  68.7,  32.8,  29.9,   0.0,   6.0
Hamilton-Wenham,06750000,         250,         199,  79.6,  10.0,  74.0,  30.0,  31.2,   0.0,  24.0
Hampden Charter School of Science East (District),04990000,          26,          20,  76.9,  15.4,  53.8,  30.8,  38.5,   0.0,   0.0
