2017-18 Advanced Placement Performance - All Subjects - Female,,,,,,,,,
District Name,District Code,tests_taken_female,score=1_female,score=2_female,score=3_female,score=4_female,score=5_female,%_score_1-2_female,%_score_3-5_female
Longmeadow,01590000,     240,       3,      32,      65,      95,      45,  14.6,  85.4
Lowell,01600000,     423,      94,     149,     107,      44,      29,  57.4,  42.6
Ludlow,01610000,     160,      25,      53,      44,      29,       9,  48.8,  51.3
Lunenburg,01620000,     120,       9,      36,      46,      17,      12,  37.5,  62.5
Lynn,01630000,     503,     169,     154,     115,      50,      15,  64.2,  35.8
Lynnfield,01640000,     243,      11,      43,      84,      65,      40,  22.2,  77.8
MATCH Charter Public School (District),04690000,     107,      24,      43,      25,      14,       1,  62.6,  37.4
Ma Academy for Math and Science,04680000,      31,       0,       5,      13,      10,       3,  16.1,  83.9
Malden,01650000,     471,     137,     137,     102,      59,      36,  58.2,  41.8
Manchester Essex Regional,06980000,     207,       7,      35,      45,      59,      61,  20.3,  79.7
Mansfield,01670000,     265,      14,      52,      95,      65,      39,  24.9,  75.1
Marblehead,01680000,     348,      11,      60,      95,     110,      72,  20.4,  79.6
Marlborough,01700000,     297,      54,     110,      74,      43,      16,  55.2,  44.8
Marshfield,01710000,     309,      25,      73,     120,      67,      24,  31.7,  68.3
Martha's Vineyard,07000000,     121,       9,      38,      41,      22,      11,  38.8,  61.2
Masconomet,07050000,     269,       6,      36,      76,      95,      56,  15.6,  84.4
Mashpee,01720000,     118,      27,      36,      34,      15,       6,  53.4,  46.6
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      10,       1,       4,       3,       2,       0,  50.0,  50.0
Maynard,01740000,      95,      13,      30,      36,      11,       5,  45.3,  54.7
Medfield,01750000,     349,      19,      65,      93,     100,      72,  24.1,  75.9
Medford,01760000,     162,       1,      14,      52,      55,      40,   9.3,  90.7
Medway,01770000,     282,      11,      58,      90,      73,      50,  24.5,  75.5
Melrose,01780000,     410,      43,      92,     112,     100,      63,  32.9,  67.1
Mendon-Upton,07100000,     232,      25,      56,      65,      63,      23,  34.9,  65.1
Methuen,01810000,     355,      51,     104,     100,      62,      38,  43.7,  56.3
Middleborough,01820000,     142,      21,      45,      50,      18,       8,  46.5,  53.5
Milford,01850000,     240,      37,      72,      69,      42,      20,  45.4,  54.6
Millbury,01860000,      71,      13,      20,      21,      12,       5,  46.5,  53.5
Millis,01870000,     112,       3,      15,      41,      31,      22,  16.1,  83.9
Milton,01890000,     394,       9,      54,     118,     127,      86,  16.0,  84.0
Minuteman Regional Vocational Technical,08300000,       2,,,,,,,
Mohawk Trail,07170000,      49,       5,      15,      11,      13,       5,  40.8,  59.2
Monomoy Regional School District,07120000,     119,       8,      36,      45,      19,      11,  37.0,  63.0
Monson,01910000,      47,       5,      18,      10,       9,       5,  48.9,  51.1
Montachusett Regional Vocational Technical,08320000,      95,      15,      41,      27,      11,       1,  58.9,  41.1
Mount Greylock,07150000,     144,      10,      34,      33,      35,      32,  30.6,  69.4
Nantucket,01970000,     129,      10,      32,      42,      25,      20,  32.6,  67.4
Narragansett,07200000,     108,      26,      46,      18,      10,       8,  66.7,  33.3
Nashoba,07250000,     286,      12,      33,      69,      73,      99,  15.7,  84.3
Nashoba Valley Regional Vocational Technical,08520000,      60,      13,      36,       9,       1,       1,  81.7,  18.3
Natick,01980000,     495,      30,      78,     122,     131,     134,  21.8,  78.2
Nauset,06600000,     383,      17,      53,      98,     117,      98,  18.3,  81.7
Needham,01990000,     364,       5,      27,      94,     126,     112,   8.8,  91.2
New Bedford,02010000,     268,      58,      78,      82,      34,      16,  50.7,  49.3
Newburyport,02040000,     222,       7,      33,      70,      73,      39,  18.0,  82.0
Newton,02070000,"   1,102",      18,      80,     202,     363,     439,   8.9,  91.1
North Adams,02090000,     174,      95,      48,      20,      10,       1,  82.2,  17.8
North Andover,02110000,     303,      11,      37,     101,      97,      57,  15.8,  84.2
North Attleborough,02120000,     284,       8,      39,      91,      80,      66,  16.5,  83.5
North Brookfield,02150000,      31,       6,      13,       7,       4,       1,  61.3,  38.7
