2017-18 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,tests_taken_all,score=1_all,score=2_all,score=3_all,score=4_all,score=5_all,%_score_1-2_all,%_score_3-5_all
Lee,01500000,      70,      22,      20,      14,      12,       2,  60.0,  40.0
Leicester,01510000,     148,      24,      56,      40,      20,       8,  54.1,  45.9
Lenox,01520000,     106,      22,      23,      31,      18,      12,  42.5,  57.5
Leominster,01530000,     492,      55,     135,     147,     106,      49,  38.6,  61.4
Lexington,01550000,"   1,732",      25,      80,     266,     549,     812,   6.1,  93.9
Lincoln-Sudbury,06950000,     406,       2,      12,      45,     111,     236,   3.4,  96.6
Littleton,01580000,     182,       6,      17,      47,      71,      41,  12.6,  87.4
Longmeadow,01590000,     525,       7,      53,     130,     193,     142,  11.4,  88.6
Lowell,01600000,     691,     135,     238,     178,      94,      46,  54.0,  46.0
Ludlow,01610000,     290,      43,      83,      80,      58,      26,  43.4,  56.6
Lunenburg,01620000,     214,      14,      55,      85,      39,      21,  32.2,  67.8
Lynn,01630000,     823,     276,     254,     185,      83,      25,  64.4,  35.6
Lynnfield,01640000,     451,      25,      79,     139,     125,      83,  23.1,  76.9
MATCH Charter Public School (District),04690000,     168,      40,      60,      42,      22,       4,  59.5,  40.5
Ma Academy for Math and Science,04680000,      86,       0,       6,      21,      35,      24,   7.0,  93.0
Malden,01650000,     826,     246,     215,     174,     120,      71,  55.8,  44.2
Manchester Essex Regional,06980000,     325,      21,      51,      85,      94,      74,  22.2,  77.8
Mansfield,01670000,     453,      25,      78,     159,     116,      75,  22.7,  77.3
Marblehead,01680000,     583,      23,      94,     175,     173,     118,  20.1,  79.9
Marlborough,01700000,     532,     113,     181,     125,      85,      28,  55.3,  44.7
Marshfield,01710000,     508,      41,     103,     182,     131,      51,  28.3,  71.7
Martha's Vineyard,07000000,     257,      28,      56,      95,      48,      30,  32.7,  67.3
Masconomet,07050000,     442,      10,      53,     111,     157,     111,  14.3,  85.7
Mashpee,01720000,     225,      48,      67,      65,      30,      15,  51.1,  48.9
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      13,       1,       5,       4,       3,       0,  46.2,  53.8
