2017-18 Advanced Placement Participation - All Subjects - Female,,,,,,,,,
District Name,District Code,test_takers_female,tests_taken_female,one_test_female,two_tests_female,three_tests_female,four_tests_female,five_ormore_tests_female,
Quaboag Regional,07780000,      60,     113,      27,      18,      10,       5,       0,
Quincy,02430000,     210,     447,      93,      49,      38,      15,      15,
Ralph C Mahar,07550000,      37,      60,      21,      10,       5,       1,       0,
Randolph,02440000,      86,     148,      36,      38,      12,       0,       0,
Reading,02460000,     108,     172,      69,      21,      11,       7,       0,
Revere,02480000,     181,     307,      92,      62,      18,       8,       1,
Rising Tide Charter Public (District),04830000,      22,      37,      10,       9,       3,       0,       0,
Rockland,02510000,      72,     116,      41,      19,      11,       1,       0,
Rockport,02520000,      34,      62,      18,       6,       8,       2,       0,
Roxbury Preparatory Charter (District),04840000,     123,     275,      35,      45,      22,      21,       0,
Sabis International Charter (District),04410000,      32,      55,      17,      10,       3,       1,       1,
Salem,02580000,     110,     184,      61,      31,      13,       3,       2,
Salem Academy Charter (District),04850000,      37,      67,      22,       4,       7,       4,       0,
Sandwich,02610000,     125,     175,      79,      42,       4,       0,       0,
Saugus,02620000,     102,     203,      41,      32,      21,       6,       2,
Scituate,02640000,     169,     350,      63,      51,      38,      14,       3,
Seekonk,02650000,     103,     169,      49,      42,      12,       0,       0,
Sharon,02660000,     146,     329,      55,      41,      24,      14,      12,
Shrewsbury,02710000,     245,     483,      83,     105,      42,      11,       4,
Silver Lake,07600000,     152,     312,      54,      60,      19,      15,       4,
Somerset Berkley Regional School District,07630000,     129,     232,      58,      48,      15,       7,       1,
Somerville,02740000,     142,     283,      66,      34,      20,      21,       1,
South Hadley,02780000,      91,     157,      40,      36,      15,       0,       0,
South Middlesex Regional Vocational Technical,08290000,      23,      36,      11,      11,       1,       0,       0,
South Shore Charter Public (District),04880000,      27,      36,      18,       9,       0,       0,       0,
Southbridge,02770000,      40,      66,      22,      12,       4,       2,       0,
Southeastern Regional Vocational Technical,08720000,      88,     128,      50,      36,       2,       0,       0,
Southern Berkshire,07650000,      18,      26,      11,       6,       1,       0,       0,
Southern Worcester County Regional Vocational Technical,08760000,      39,      60,      23,      12,       3,       1,       0,
Southwick-Tolland-Granville Regional School District,07660000,      60,      84,      43,      11,       5,       1,       0,
Spencer-E Brookfield,07670000,      23,      43,      13,       1,       8,       1,       0,
Springfield,02810000,     390,     632,     225,     108,      39,      16,       2,
Stoneham,02840000,      95,     188,      42,      27,      18,       2,       6,
Stoughton,02850000,      97,     169,      43,      37,      16,       1,       0,
Sutton,02900000,      90,     163,      40,      32,      13,       5,       0,
Swampscott,02910000,      90,     200,      38,      26,       8,       7,      11,
Swansea,02920000,      73,     140,      30,      25,      13,       4,       1,
TEC Connections Academy Commonwealth Virtual School District,39020000,      32,      50,      20,       6,       6,       0,       0,
Tantasqua,07700000,     124,     187,      79,      31,      11,       2,       1,
Taunton,02930000,     213,     377,     105,      63,      34,      11,       0,
Tewksbury,02950000,     120,     183,      69,      40,      10,       1,       0,
Tri-County Regional Vocational Technical,08780000,      47,      66,      33,       9,       5,       0,       0,
Triton,07730000,      82,     163,      35,      23,      16,       6,       2,
Tyngsborough,03010000,      47,      53,      41,       6,       0,       0,       0,
Upper Cape Cod Regional Vocational Technical,08790000,      11,      12,      10,       1,       0,       0,       0,
Uxbridge,03040000,      47,     100,      13,      20,       9,       5,       0,
Wachusett,07750000,     221,     396,     121,      51,      29,      16,       4,
Wakefield,03050000,     120,     214,      55,      40,      21,       4,       0,
Walpole,03070000,     128,     272,      56,      24,      29,      14,       5,
Waltham,03080000,     133,     250,      59,      40,      27,       5,       2,
Ware,03090000,      26,      34,      18,       8,       0,       0,       0,
Wareham,03100000,      38,      77,      16,      11,       7,       2,       2,
Watertown,03140000,      58,     100,      34,      11,      10,       1,       2,
Wayland,03150000,     113,     223,      51,      29,      21,       9,       3,
Webster,03160000,      63,     114,      26,      25,      10,       2,       0,
Wellesley,03170000,     208,     414,      96,      43,      48,      17,       4,
West Boylston,03220000,      35,      46,      25,       9,       1,       0,       0,
West Bridgewater,03230000,      85,     157,      25,      52,       5,       2,       1,
West Springfield,03320000,     119,     226,      46,      46,      20,       7,       0,
Westborough,03210000,     149,     295,      70,      38,      22,      14,       5,
Westfield,03250000,     178,     313,      95,      44,      29,       7,       3,
Westford,03260000,     233,     453,     101,      73,      39,      12,       8,
Weston,03300000,     157,     299,      76,      46,      17,      10,       8,
Westport,03310000,      51,      93,      23,      16,      10,       2,       0,
Westwood,03350000,     211,     414,      97,      59,      31,      15,       9,
Weymouth,03360000,     126,     236,      53,      42,      26,       4,       1,
Whitman-Hanson,07800000,     225,     415,     102,      72,      36,      14,       1,
Wilmington,03420000,     112,     215,      54,      31,      15,       7,       5,
Winchendon,03430000,      42,      86,      14,      15,      10,       3,       0,
Winchester,03440000,     140,     280,      62,      38,      23,      12,       5,
Winthrop,03460000,      75,     159,      26,      17,      29,       3,       0,
Woburn,03470000,     165,     261,     101,      35,      26,       3,       0,
Worcester,03480000,     970,"   1,617",     540,     267,     118,      38,       7,
State Totals,00000000,"  32,259","  58,491","  15,735","   9,675","   4,659","   1,633",     557,
