2017-18 Advanced Placement Participation - All Subjects - Hispanic/Latino,,,,,,,,
District Name,District Code,test_takers_hispanic,tests_taken_hispanic,one_test_hispanic,two_tests_hispanic,three_tests_hispanic,four_tests_hispanic,five_ormore_tests_hispanic
Ralph C Mahar,7550000,3,,,,,,
Randolph,2440000,14,18,10,4,0,0,0
Reading,2460000,1,,,,,,
Revere,2480000,132,197,79,44,6,3,0
Rising Tide Charter Public (District),4830000,2,,,,,,
Rockland,2510000,3,,,,,,
Rockport,2520000,1,,,,,,
Roxbury Preparatory Charter (District),4840000,86,185,27,29,20,10,0
Sabis International Charter (District),4410000,23,38,14,5,2,2,0
Salem,2580000,49,77,28,15,5,1,0
Salem Academy Charter (District),4850000,27,42,18,6,0,3,0
Sandwich,2610000,3,,,,,,
Saugus,2620000,11,22,5,3,2,0,1
Scituate,2640000,1,,,,,,
Sharon,2660000,8,,,,,,
Shrewsbury,2710000,8,,,,,,
Silver Lake,7600000,6,,,,,,
Somerset Berkley Regional School District,7630000,1,,,,,,
Somerville,2740000,98,166,58,21,10,9,0
South Hadley,2780000,7,,,,,,
South Middlesex Regional Vocational Technical,8290000,13,19,8,4,1,0,0
South Shore Charter Public (District),4880000,2,,,,,,
Southbridge,2770000,18,26,12,5,0,1,0
Southeastern Regional Vocational Technical,8720000,17,22,12,5,0,0,0
Southern Berkshire,7650000,1,,,,,,
Southern Worcester County Regional Vocational Technical,8760000,5,,,,,,
Southwick-Tolland-Granville Regional School District,7660000,1,,,,,,
Spencer-E Brookfield,7670000,3,,,,,,
Springfield,2810000,282,422,182,65,30,5,0
Stoneham,2840000,5,,,,,,
Stoughton,2850000,5,,,,,,
Sutton,2900000,3,,,,,,
Swampscott,2910000,10,21,6,1,1,0,2
Swansea,2920000,1,,,,,,
TEC Connections Academy Commonwealth Virtual School District,39020000,1,,,,,,
Tantasqua,7700000,10,16,6,2,2,0,0
Taunton,2930000,22,33,15,5,0,2,0
Tewksbury,2950000,4,,,,,,
Tri-County Regional Vocational Technical,8780000,3,,,,,,
Triton,7730000,2,,,,,,
Tyngsborough,3010000,2,,,,,,
Uxbridge,3040000,1,,,,,,
Wachusett,7750000,19,32,12,2,4,1,0
Walpole,3070000,9,,,,,,
Waltham,3080000,49,77,29,13,6,1,0
Ware,3090000,1,,,,,,
Wareham,3100000,5,,,,,,
Watertown,3140000,9,,,,,,
Wayland,3150000,6,,,,,,
