2017-18 Plans of High School Graduates Report (District) ,,,,,,,,,,,,
District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Danvers,00710000,  38.7,  39.1,   0.4,  11.7,   0.0,   0.0,   5.7,   0.9,   2.6,   0.9,     230
Dartmouth,00720000,  22.5,  43.4,   0.8,  23.7,   0.4,   0.4,   2.4,   1.6,   2.4,   2.4,     249
Dedham,00730000,  31.0,  39.9,   0.0,  13.9,   1.3,   0.0,   3.8,   1.3,   1.3,   7.6,     158
Dennis-Yarmouth,06450000,  29.3,  31.9,   0.0,  19.1,   2.1,   0.0,  12.2,   3.2,   0.0,   2.1,     188
Dighton-Rehoboth,06500000,  17.5,  47.5,   0.0,   8.5,   3.5,   0.0,  17.0,   6.0,   0.0,   0.0,     200
Douglas,00770000,  33.7,  25.8,   0.0,  15.7,   3.4,   0.0,  15.7,   4.5,   0.0,   1.1,      89
Dover-Sherborn,06550000,  62.0,  28.2,   0.0,   1.2,   1.2,   0.0,   0.0,   0.6,   3.1,   3.7,     163
Dracut,00790000,  32.1,  31.0,   0.5,  22.8,   1.1,   0.5,   5.4,   2.7,   0.5,   3.3,     184
Dudley-Charlton Reg,06580000,  39.7,  24.3,   0.0,  18.5,   2.7,   0.0,  10.3,   3.4,   0.3,   0.7,     292
Duxbury,00820000,  40.3,  48.9,   0.0,   1.4,   1.8,   0.0,   1.4,   0.7,   4.0,   1.4,     278
East Bridgewater,00830000,  24.5,  39.6,   1.3,  15.1,   3.1,   0.0,  11.3,   5.0,   0.0,   0.0,     159
East Longmeadow,00870000,  36.4,  23.8,   0.0,  32.7,   0.9,   0.0,   4.7,   1.4,   0.0,   0.0,     214
Easthampton,00860000,  22.0,  20.0,   0.0,  30.0,   2.0,   0.0,  21.0,   2.0,   0.0,   3.0,     100
Easton,00880000,  40.0,  48.1,   0.6,   3.8,   0.9,   0.0,   0.0,   1.9,   3.4,   1.3,     320
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,   9.9,  39.5,   0.0,  39.5,   2.5,   0.0,   3.7,   1.2,   0.0,   3.7,      81
Essex North Shore Agricultural and Technical School District,08170000,  24.5,  29.1,   0.0,  19.2,   0.3,   0.0,  23.2,   1.2,   0.3,   2.2,     323
Everett,00930000,  23.5,  23.7,   1.6,  18.6,   1.6,   0.0,   6.0,   2.4,   0.2,  22.4,     451
Fairhaven,00940000,  17.6,  46.6,   0.0,  19.6,   3.4,   0.0,   7.4,   3.4,   0.7,   1.4,     148
Fall River,00950000,  11.4,  19.5,   1.6,  41.4,   0.2,   0.0,  16.3,   3.6,   4.6,   1.4,     502
Falmouth,00960000,  32.8,  25.0,   0.0,  19.8,   2.1,   1.0,   3.6,   3.6,   1.6,  10.4,     192
Farmington River Reg,06620000,,,,,,,,,,,       1
Fitchburg,00970000,   8.5,  21.6,   0.0,  27.4,   2.5,   0.0,  31.5,   1.4,   1.6,   5.5,     365
Four Rivers Charter Public (District),04130000,  27.0,  27.0,   0.0,  21.6,   8.1,   0.0,   2.7,   2.7,   0.0,  10.8,      37
Foxborough,00990000,  38.7,  39.8,   0.0,   8.4,   2.6,   1.6,   3.7,   4.2,   0.0,   1.0,     191
Foxborough Regional Charter (District),04460000,  51.8,  41.1,   0.0,   3.6,   1.8,   0.0,   0.0,   0.0,   1.8,   0.0,      56
Framingham,01000000,  20.0,  41.5,   0.6,  15.1,   4.5,   0.0,   6.5,   2.9,   1.4,   7.4,     489
Francis W. Parker Charter Essential (District),04780000,  42.6,  50.0,   0.0,   2.9,   1.5,   0.0,   0.0,   1.5,   1.5,   0.0,      68
Franklin,01010000,  42.3,  42.3,   2.1,   5.1,   1.9,   0.0,   2.3,   1.9,   0.9,   1.1,     470
Franklin County Regional Vocational Technical,08180000,   5.4,   3.6,   0.0,  18.0,   0.0,   0.0,  61.3,   4.5,   7.2,   0.0,     111
Freetown-Lakeville,06650000,  25.0,  34.6,   0.0,  28.2,   2.1,   1.1,   5.3,   2.7,   0.0,   1.1,     188
Frontier,06700000,  34.6,  37.0,   0.0,  24.7,   1.2,   0.0,   1.2,   1.2,   0.0,   0.0,      81
Gardner,01030000,  18.3,  23.8,   0.0,  42.1,   3.2,   0.0,   6.3,   2.4,   0.0,   4.0,     126
Gateway,06720000,  17.1,  19.5,   0.0,  17.1,   7.3,   0.0,  19.5,  14.6,   4.9,   0.0,      41
Georgetown,01050000,  42.6,  33.3,   2.8,  13.0,   0.0,   0.0,   4.6,   0.0,   0.0,   3.7,     108
Gill-Montague,06740000,  14.8,  22.2,   0.0,  33.3,   3.7,   0.0,  16.7,   5.6,   0.0,   3.7,      54
Global Learning Charter Public (District),04960000,  13.2,  39.5,   0.0,  39.5,   0.0,   0.0,   5.3,   0.0,   0.0,   2.6,      38
Gloucester,01070000,  25.6,  27.5,   0.0,  22.3,   5.2,   0.0,   6.2,   5.2,   0.9,   7.1,     211
Grafton,01100000,  30.4,  42.9,   0.0,  11.4,   2.7,   0.5,   2.7,   0.5,   0.5,   8.2,     184
Granby,01110000,  33.9,  12.5,   0.0,  42.9,   0.0,   0.0,   7.1,   0.0,   3.6,   0.0,      56
Greater Fall River Regional Vocational Technical,08210000,   8.3,  17.1,   0.9,  30.9,   1.2,   0.0,  33.9,   4.3,   0.0,   3.4,     327
Greater Lawrence Regional Vocational Technical,08230000,   8.4,  11.0,   0.3,  43.5,   0.6,  16.6,  14.6,   2.6,   0.0,   2.3,     308
Greater Lowell Regional Vocational Technical,08280000,   6.1,  12.5,   0.0,  37.9,   2.7,   0.0,  21.7,   4.9,  10.2,   3.9,     488
Greater New Bedford Regional Vocational Technical,08250000,  10.7,  20.3,   0.0,  37.0,   5.2,   0.0,  21.3,   5.4,   0.0,   0.0,     497
Greenfield,01140000,  14.7,  18.7,   0.0,  50.7,   0.0,   1.3,  14.7,   0.0,   0.0,   0.0,      75
Groton-Dunstable,06730000,  44.1,  41.7,   0.0,   6.6,   0.9,   0.0,   4.7,   0.9,   0.0,   0.9,     211
Hadley,01170000,  20.6,  47.1,   0.0,  17.6,   5.9,   0.0,   0.0,   0.0,   0.0,   8.8,      34
Hamilton-Wenham,06750000,  56.5,  31.3,   0.0,   4.6,   3.1,   0.0,   1.5,   0.0,   0.8,   2.3,     131
Hampden Charter School of Science East (District),04990000,  20.7,  34.5,   0.0,  41.4,   0.0,   0.0,   0.0,   3.4,   0.0,   0.0,      29
Hampden-Wilbraham,06800000,  39.0,  27.2,   0.7,  22.8,   1.1,   0.0,   2.6,   3.3,   0.7,   2.6,     272
Hampshire,06830000,  18.7,  20.6,   0.0,  39.3,   0.9,   0.9,   6.5,   2.8,   7.5,   2.8,     107
Hanover,01220000,  37.9,  51.3,   0.5,   2.1,   1.0,   0.0,   1.0,   1.0,   3.1,   2.1,     195
Harvard,01250000,  44.1,  48.6,   0.0,   0.9,   0.0,   0.0,   1.8,   0.9,   0.0,   3.6,     111
Hatfield,01270000,  27.6,  24.1,   0.0,  27.6,   0.0,   0.0,  10.3,   6.9,   3.4,   0.0,      29
Haverhill,01280000,  11.5,  33.1,   5.1,  27.4,   1.8,   0.0,  12.3,   0.8,   3.3,   4.6,     390
Hingham,01310000,  55.8,  35.3,   0.0,   2.8,   0.3,   0.0,   3.4,   0.0,   1.5,   0.9,     326
Holbrook,01330000,  22.1,  33.8,   1.5,  22.1,   0.0,   0.0,  14.7,   5.9,   0.0,   0.0,      68
Holliston,01360000,  42.5,  44.6,   0.5,   2.2,   2.2,   0.0,   5.9,   0.0,   1.1,   1.1,     186
Holyoke,01370000,  14.8,  12.7,   0.6,  34.9,   2.4,   0.0,  13.9,   6.2,   1.8,  12.7,     338
Hopedale,01380000,  32.2,  50.0,   4.4,   0.0,   4.4,   0.0,   0.0,   2.2,   6.7,   0.0,      90
Hopkinton,01390000,  54.0,  39.1,   0.0,   1.4,   0.0,   0.0,   0.7,   0.0,   0.0,   4.8,     289
Hudson,01410000,  27.3,  39.8,   0.0,  19.3,   1.1,   0.0,  11.9,   0.6,   0.0,   0.0,     176
Hull,01420000,  18.3,  40.0,   0.0,  13.3,   3.3,   1.7,   8.3,  10.0,   0.0,   5.0,      60
Innovation Academy Charter (District),04350000,  39.1,  31.0,   0.0,  24.1,   0.0,   0.0,   3.4,   1.1,   0.0,   1.1,      87
Ipswich,01440000,  37.6,  41.0,   0.0,   9.4,   0.9,   0.0,   0.9,   1.7,   1.7,   6.8,     117
KIPP Academy Lynn Charter (District),04290000,  41.9,  41.0,   0.0,  12.4,   0.0,   0.0,   3.8,   0.0,   1.0,   0.0,     105
King Philip,06900000,  41.3,  38.8,   0.3,   6.1,   1.2,   0.9,   3.1,   2.1,   0.6,   5.5,     327
Kingston,01450000,,,,,,,,,,,       3
Lawrence,01490000,   8.8,  16.1,   0.1,  42.0,   3.0,   0.0,   7.3,   2.2,   0.4,  20.0,     769
Lee,01500000,  19.6,  19.6,   0.0,  29.4,   0.0,   0.0,  15.7,   3.9,   9.8,   2.0,      51
Leicester,01510000,  27.0,  30.6,   0.0,  22.5,   1.8,   0.0,  12.6,   5.4,   0.0,   0.0,     111
Lenox,01520000,  48.4,  22.6,   3.2,  19.4,   0.0,   0.0,   0.0,   0.0,   6.5,   0.0,      62
Leominster,01530000,  14.8,  35.8,   1.1,  25.3,   2.0,   0.0,  14.0,   3.3,   0.2,   3.5,     458
Lexington,01550000,  44.2,  27.4,   0.0,   0.7,   0.0,   0.0,   0.7,   0.5,   0.7,  25.7,     552
Lincoln-Sudbury,06950000,  62.2,  31.3,   0.5,   3.6,   0.3,   0.0,   1.6,   0.3,   0.3,   0.0,     384
Littleton,01580000,  38.3,  44.3,   0.0,   9.6,   0.0,   0.0,   3.5,   0.9,   0.0,   3.5,     115
Longmeadow,01590000,  84.9,   3.6,   0.4,   8.4,   0.0,   0.4,   0.9,   0.0,   0.0,   1.3,     225
Lowell,01600000,  15.5,  34.6,   0.1,  29.6,   1.4,   0.1,   5.8,   2.8,   4.4,   5.4,     702
