2017-18 Race/Ethnicity and Gender Staffing Report  - District - All,,,,,,,,,,,,
District Name,District Code,%_staff_aa,%_staff_asian,%_staff_hispanic,%_staff_white,%_staff_native,%_staff_islander,%_staff_multirace,%_staff_female,%_staff_male,staff_FTE,%_staff_notwhite
Four Rivers Charter Public (District),4130000,0,0,0,98.4,0,0,1.6,68.4,31.6,33.5,1.6
Foxborough,990000,0.3,1.4,0.3,98.1,0,0,0,80.8,19.2,365.2,1.9
Foxborough Regional Charter (District),4460000,4.8,0,6.6,88.6,0,0,0,77.9,22.1,167.2,11.4
Framingham,1000000,1.5,1.4,10.6,86.4,0,0,0.1,83.9,16.1,"1,260.60",13.6
Francis W. Parker Charter Essential (District),4780000,2.6,0,4.5,90,0,0,3,68.2,31.8,67.4,10
Franklin,1010000,0.6,1,0.3,98.1,0,0,0,83.1,16.9,671.4,1.9
Franklin County Regional Vocational Technical,8180000,1.3,0,0.6,96.8,0,0,1.3,39.4,60.6,78.2,3.2
Freetown-Lakeville,6650000,0.9,0,0.9,98.3,0,0,0,81.6,18.4,349.6,1.7
Frontier,6700000,0,0,1,96,2,0,1,68.7,31.3,101.5,4
Gardner,1030000,0.6,1.7,1.6,93.5,0,0,2.5,80.7,19.3,314.2,6.5
Gateway,6720000,0,0,0,98.7,0,1.3,0,82.6,17.4,149.5,1.3
Georgetown,1050000,0,0,0.6,98.8,0,0.6,0,82.6,17.4,175.6,1.2
Gill-Montague,6740000,0,0.5,1.1,97.3,0,0,1.1,81.5,18.5,184.1,2.7
Global Learning Charter Public (District),4960000,6.5,1.2,2.9,88,0,0,1.4,69.6,30.4,69.2,12
Gloucester,1070000,0.2,0,0.4,99.4,0,0,0,82.4,17.6,482.2,0.6
Gosnold,1090000,0,0,0,100,0,0,0,95,5,2.4,0
Grafton,1100000,0,1,0.4,98.3,0,0,0.3,84.9,15.1,466.4,1.7
Granby,1110000,0.9,1.9,0.9,95.3,0,0,0.9,79.8,20.2,107.4,4.7
Greater Fall River Regional Vocational Technical,8210000,2.1,0,1.2,96.2,0.6,0,0,47,53,169.3,3.8
Greater Lawrence Regional Vocational Technical,8230000,0.8,0.5,12.2,86.1,0,0,0.5,60.8,39.2,212.6,13.9
Greater Lowell Regional Vocational Technical,8280000,1.8,2.2,2.9,93.2,0,0,0,62,38,278.9,6.8
Greater New Bedford Regional Vocational Technical,8250000,2.9,0.4,2.5,93.6,0.7,0,0,51.7,48.3,279.3,6.4
Greenfield,1140000,0.3,1,1.5,97.2,0,0,0,83.7,16.3,331.1,2.8
Groton-Dunstable,6730000,0,0.6,0.6,97.6,0.3,0.3,0.6,83.3,16.7,326.7,2.4
Hadley,1170000,1,1,0,97.9,0,0,0,78,22,95.6,2.1
Halifax,1180000,0,0,0,100,0,0,0,86.5,13.5,67.8,0
