2017-18 SAT Performance Report - Economically Disadvantaged,,,,
District Name,District Code,sat_tests_taken_lowincome,reading_writing_lowincome,math_lowincome
Salem Academy Charter (District),4850000,30,504,501
Sandwich,2610000,16,514,509
Saugus,2620000,43,497,493
Scituate,2640000,21,544,546
Seekonk,2650000,23,538,518
Sharon,2660000,26,558,572
Shawsheen Valley Regional Vocational Technical,8710000,33,525,515
Shrewsbury,2710000,52,567,595
Silver Lake,7600000,37,560,547
Sizer School: A North Central Charter Essential (District),4740000,5,,
Somerset Berkley Regional School District,7630000,27,576,570
Somerville,2740000,95,491,496
South Hadley,2780000,11,543,548
South Middlesex Regional Vocational Technical,8290000,30,461,454
South Shore Charter Public (District),4880000,12,553,513
South Shore Regional Vocational Technical,8730000,14,544,519
Southbridge,2770000,39,462,446
Southeastern Regional Vocational Technical,8720000,88,469,451
Southern Berkshire,7650000,8,,
Southern Worcester County Regional Vocational Technical,8760000,45,521,512
Southwick-Tolland-Granville Regional School District,7660000,14,527,541
Spencer-E Brookfield,7670000,12,521,506
Springfield,2810000,"1,590",420,417
Stoneham,2840000,24,535,522
Stoughton,2850000,58,522,513
Sturgis Charter Public (District),4890000,41,581,559
Sutton,2900000,7,,
Swampscott,2910000,22,530,540
Swansea,2920000,14,557,551
TEC Connections Academy Commonwealth Virtual School District,39020000,14,580,559
Tantasqua,7700000,33,571,582
Taunton,2930000,180,480,468
Tewksbury,2950000,32,531,519
Tri-County Regional Vocational Technical,8780000,15,485,493
Triton,7730000,17,535,566
Tyngsborough,3010000,13,505,472
Upper Cape Cod Regional Vocational Technical,8790000,17,519,511
Uxbridge,3040000,20,539,522
Wachusett,7750000,34,575,571
Wakefield,3050000,31,545,551
Walpole,3070000,34,531,526
Waltham,3080000,80,484,477
Ware,3090000,10,525,563
Wareham,3100000,33,517,520
Watertown,3140000,52,515,532
Wayland,3150000,13,519,545
Webster,3160000,23,537,511
Wellesley,3170000,36,584,602
West Boylston,3220000,8,,
West Bridgewater,3230000,13,582,559
West Springfield,3320000,60,505,513
Westborough,3210000,24,558,579
Westfield,3250000,44,506,497
Westford,3260000,19,589,587
Weston,3300000,11,588,569
Westport,3310000,7,,
Westwood,3350000,19,528,557
Weymouth,3360000,82,518,512
Whitman-Hanson,7800000,46,516,496
Whittier Regional Vocational Technical,8850000,41,509,490
Wilmington,3420000,27,531,506
Winchendon,3430000,15,513,525
Winchester,3440000,22,565,574
Winthrop,3460000,29,508,496
Woburn,3470000,63,511,517
Worcester,3480000,976,455,457
State Totals,0,"15,791",492,494
