2017-18  Educator Evaluation Performance (District) - All Educators,,,,,,,,
District Name,District Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Freetown-Lakeville,6650000,230,229,99.6,18.3,79.5,2.2,0
Frontier,6700000,69,69,100,13,85.5,0,1.4
Gardner,1030000,221,214,96.8,13.6,78.5,7,0.9
Gateway,6720000,100,98,98,7.1,84.7,8.2,0
Georgetown,1050000,130,119,91.5,,,,
Gill-Montague,6740000,111,111,100,18,70.3,9.9,1.8
Global Learning Charter Public (District),4960000,47,47,100,21.3,74.5,4.3,0
Gloucester,1070000,324,324,100,23.1,74.7,2.2,0
Gosnold,1090000,2,2,100,,,,
Grafton,1100000,283,278,98.2,3.6,93.5,2.9,0
Granby,1110000,76,69,90.8,17.4,81.2,1.4,0
Greater Fall River Regional Vocational Technical,8210000,155,155,100,2.6,95.5,1.9,0
Greater Lawrence Regional Vocational Technical,8230000,182,173,95.1,6.9,86.1,6.9,0
Greater Lowell Regional Vocational Technical,8280000,218,212,97.2,6.6,91,2.4,0
Greater New Bedford Regional Vocational Technical,8250000,226,226,100,9.7,85.4,4.9,0
Greenfield,1140000,185,184,99.5,22.8,74.5,2.2,0.5
Groton-Dunstable,6730000,225,225,100,4,92.9,1.8,1.3
Hadley,1170000,64,64,100,29.7,68.8,0,1.6
Halifax,1180000,50,50,100,14,86,0,0
Hamilton-Wenham,6750000,189,186,98.4,7.5,89.8,2.7,0
Hampden Charter School of Science East (District),4990000,,,,,,,
Hampden-Wilbraham,6800000,262,262,100,10.3,88.9,0.8,0
Hampshire,6830000,92,86,93.5,7,93,0,0
Hancock,1210000,14,14,100,14.3,85.7,0,0
Hanover,1220000,240,237,98.8,19.4,80.6,0,0
Harvard,1250000,108,108,100,,,,
Hatfield,1270000,54,54,100,35.2,63,1.9,0
Haverhill,1280000,655,612,93.4,6.2,83.5,9.8,0.5
Hawlemont,6850000,22,20,90.9,20,80,0,0
Helen Y. Davis Leadership Academy Charter Public (District),4190000,,,,,,,
Hill View Montessori Charter Public (District),4550000,26,26,100,0,88.5,11.5,0
Hilltown Cooperative Charter Public (District),4500000,,,,,,,
Hingham,1310000,358,357,99.7,21,77,1.7,0.3
Holbrook,1330000,113,113,100,3.5,92,2.7,1.8
Holland,1350000,25,24,96,,,,
Holliston,1360000,271,271,100,3.7,95.6,0.7,0
Holyoke,1370000,506,479,94.7,9.4,73.9,15.2,1.5
Holyoke Community Charter (District),4530000,,,,,,,
Hopedale,1380000,105,105,100,12.4,86.7,1,0
Hopkinton,1390000,325,324,99.7,20.1,78.7,1.2,0
Hudson,1410000,297,297,100,9.4,88.9,1.7,0
Hull,1420000,108,107,99.1,27.1,68.2,4.7,0
Innovation Academy Charter (District),4350000,,,,,,,
Ipswich,1440000,196,196,100,33.2,65.8,1,0
KIPP Academy Boston Charter School (District),4630000,,,,,,,
KIPP Academy Lynn Charter (District),4290000,,,,,,,
King Philip,6900000,159,155,97.5,34.2,60.6,5.2,0
Kingston,1450000,87,87,100,8,90.8,1.1,0
Lanesborough,1480000,28,26,92.9,23.1,76.9,0,0
Lawrence,1490000,"1,219","1,152",94.5,21.8,67,10.7,0.5
