2017-18 Advanced Placement Participation - All Subjects - All Students,,,,,,,,,
District Name,District Code,test_takers_all,tests_taken_all,one_test_all,two_tests_all,three_tests_all,four_tests_all,five_ormore_tests_all,
Lee,01500000,      42,      70,      22,      13,       6,       1,       0,
Leicester,01510000,     106,     148,      69,      32,       5,       0,       0,
Lenox,01520000,      58,     106,      29,      13,      13,       3,       0,
Leominster,01530000,     223,     492,      88,      57,      39,      27,      12,
Lexington,01550000,     915,"   1,732",     434,     276,     120,      45,      40,
Lincoln-Sudbury,06950000,     258,     406,     155,      66,      29,       8,       0,
Littleton,01580000,      98,     182,      42,      32,      20,       4,       0,
Longmeadow,01590000,     227,     525,      74,      71,      43,      21,      18,
Lowell,01600000,     383,     691,     219,      78,      46,      26,      14,
Ludlow,01610000,     145,     290,      71,      30,      26,      10,       8,
Lunenburg,01620000,     122,     214,      44,      66,      10,       2,       0,
Lynn,01630000,     442,     823,     237,      98,      59,      30,      18,
Lynnfield,01640000,     200,     451,      63,      60,      48,      22,       7,
MATCH Charter Public School (District),04690000,     101,     168,      60,      23,      12,       4,       2,
Ma Academy for Math and Science,04680000,      44,      86,      22,       7,      12,       1,       2,
Malden,01650000,     421,     826,     191,     116,      68,      35,      11,
Manchester Essex Regional,06980000,     145,     325,      49,      48,      21,      19,       8,
Mansfield,01670000,     255,     453,     112,     100,      32,      10,       1,
Marblehead,01680000,     314,     583,     156,      87,      43,      16,      12,
Marlborough,01700000,     259,     532,     114,      68,      41,      21,      15,
Marshfield,01710000,     253,     508,      91,      92,      52,      13,       5,
Martha's Vineyard,07000000,     139,     257,      70,      41,      15,       9,       4,
Masconomet,07050000,     230,     442,      98,      75,      41,      11,       5,
Mashpee,01720000,     134,     225,      79,      28,      19,       7,       1,
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,      10,      13,       7,       3,       0,       0,       0,
Maynard,01740000,     107,     168,      55,      44,       7,       1,       0,
Medfield,01750000,     303,     591,     126,      95,      56,      23,       3,
Medford,01760000,     172,     262,     104,      50,      14,       4,       0,
Medway,01770000,     274,     558,     128,      66,      43,      21,      16,
Melrose,01780000,     316,     728,     116,      78,      70,      27,      25,
Mendon-Upton,07100000,     197,     390,      75,      69,      38,      12,       3,
Methuen,01810000,     360,     598,     202,     103,      35,      15,       5,
Middleborough,01820000,     177,     263,     109,      51,      16,       1,       0,
Milford,01850000,     264,     410,     168,      57,      29,       9,       1,
Millbury,01860000,      72,     124,      30,      33,       8,       1,       0,
Millis,01870000,     111,     184,      55,      41,      13,       2,       0,
Milton,01890000,     308,     703,     101,      85,      67,      46,       9,
Minuteman Regional Vocational Technical,08300000,      15,      17,      13,       2,       0,       0,       0,
Mohawk Trail,07170000,      51,      79,      27,      20,       4,       0,       0,
Monomoy Regional School District,07120000,      86,     189,      26,      30,      20,       8,       2,
Monson,01910000,      62,      82,      46,      12,       4,       0,       0,
Montachusett Regional Vocational Technical,08320000,      95,     134,      56,      39,       0,       0,       0,
Mount Greylock,07150000,     143,     282,      62,      40,      27,      11,       3,
Mystic Valley Regional Charter (District),04700000,       1,,,,,,,
Nantucket,01970000,     115,     197,      62,      29,      20,       3,       1,
Narragansett,07200000,     108,     180,      59,      32,      13,       2,       2,
Nashoba,07250000,     312,     596,     167,      68,      31,      33,      13,
Nashoba Valley Regional Vocational Technical,08520000,      95,     154,      62,       8,      24,       1,       0,
Natick,01980000,     501,     962,     246,     125,      79,      31,      20,
Nauset,06600000,     297,     608,     137,      70,      50,      21,      19,
Needham,01990000,     439,     746,     240,     125,      45,      25,       4,
New Bedford,02010000,     249,     405,     138,      78,      21,      12,       0,
Newburyport,02040000,     202,     384,      91,      65,      27,      14,       5,
Newton,02070000,"   1,061","   2,162",     440,     293,     207,      95,      26,
North Adams,02090000,     168,     279,     100,      37,      20,      10,       1,
North Andover,02110000,     333,     535,     170,     130,      27,       6,       0,
North Attleborough,02120000,     270,     467,     143,      81,      27,      14,       5,
North Brookfield,02150000,      30,      49,      13,      15,       2,       0,       0,
North Middlesex,07350000,     205,     332,     117,      57,      24,       6,       1,
North Reading,02170000,     254,     474,     111,      84,      46,       9,       4,
Northampton,02100000,     288,     589,     114,      91,      44,      34,       5,
Northampton-Smith Vocational Agricultural,04060000,      11,      11,      11,       0,       0,       0,       0,
Northboro-Southboro,07300000,     410,     819,     183,     120,      59,      31,      17,
Northbridge,02140000,     149,     242,      73,      59,      17,       0,       0,
Northeast Metropolitan Regional Vocational Technical,08530000,      23,      29,      17,       6,       0,       0,       0,
Northern Berkshire Regional Vocational Technical,08510000,      25,      31,      19,       6,       0,       0,       0,
Norton,02180000,     185,     319,      86,      67,      30,       1,       1,
Norwell,02190000,     270,     466,     144,      75,      35,      13,       3,
Norwood,02200000,     134,     198,      86,      34,      12,       2,       0,
Old Rochester,07400000,     244,     474,     103,      76,      46,      14,       5,
Oxford,02260000,     111,     186,      53,      41,      17,       0,       0,
Palmer,02270000,      57,     103,      28,      17,       8,       3,       1,
Pathfinder Regional Vocational Technical,08600000,      49,      55,      43,       6,       0,       0,       0,
Peabody,02290000,     285,     495,     149,      80,      41,      13,       2,
Pembroke,02310000,     263,     476,     115,      92,      49,       5,       2,
