2017-18  Graduates Attending Institutions of Higher Education (District) - Afr. Amer./Black - All Colleges and Universities,,,,
District Name,District Code,Black High School Graduates (#),Black Attending Coll./Univ. (#),Black Attending Coll./Univ. (%)
Sutton,02900000,1,,
Swampscott,02910000,7,,
Swansea,02920000,1,,
TEC Connections Academy Commonwealth Virtual School District,39020000,6,,
Tantasqua,07700000,2,,
Taunton,02930000,68,39,57.4
Tewksbury,02950000,4,,
Tyngsborough,03010000,2,,
Upper Cape Cod Regional Vocational Technical,08790000,1,,
Uxbridge,03040000,2,,
Wachusett,07750000,10,,
Wakefield,03050000,7,,
Walpole,03070000,13,,
Waltham,03080000,46,35,76.1
Ware,03090000,3,,
Wareham,03100000,9,,
Watertown,03140000,5,,
Wayland,03150000,10,,
Webster,03160000,1,,
Wellesley,03170000,28,26,92.9
West Bridgewater,03230000,3,,
West Springfield,03320000,14,,
Westborough,03210000,7,,
Westfield,03250000,11,,
Westford,03260000,4,,
Weston,03300000,11,,
Westport,03310000,1,,
Westwood,03350000,7,,
Weymouth,03360000,18,12,66.7
Whitman-Hanson,07800000,4,,
Whittier Regional Vocational Technical,08850000,3,,
Wilmington,03420000,8,,
Winchendon,03430000,2,,
Winchester,03440000,6,,
Winthrop,03460000,3,,
Woburn,03470000,32,25,78.1
Worcester,03480000,284,205,72.2
State Totals,00000000,6142,4227,68.8
