2017 Chapter 70 Foundation Budget and Net School Spending ,,,,,,,,
District Name,District Code,Required NSS,Actual NSS,Amount Over or Under Required,Actual NSS as % of Required,Foundation Budget,Public Actual NSS as % of Foundation,
Williamsburg,03400000,"1,824,703.15","2,734,654.64","909,951.50",150,"1,665,309.47",164,
Williamstown,03410000,"4,088,646.00","5,924,547.97","1,835,901.97",145,"3,780,882.23",157,
Wilmington,03420000,"35,906,518.76","51,069,398.17","15,162,879.41",142,"33,396,838.33",153,
Winchendon,03430000,"16,227,713.00","16,128,253.60","-99,459.40",99,"14,883,842.21",108,
Winchester,03440000,"42,398,436.00","55,025,502.95","12,627,066.95",130,"41,694,755.43",132,
Winthrop,03460000,"20,190,928.00","22,462,894.50","2,271,966.50",111,"19,355,380.74",116,
Woburn,03470000,"50,151,188.04","72,108,461.53","21,957,273.49",144,"49,930,543.99",144,
Worcester,03480000,"333,870,392.20","335,088,239.00","1,217,846.86",100,"332,590,292.00",101,
Worthington,03490000,"1,206,121.00","1,742,989.04","536,868.04",145,"1,206,120.85",145,
Wrentham,03500000,"10,625,488.00","13,112,902.00","2,487,414.00",123,"8,711,771.79",151,
State Totals,00000000,"10,561,605,804.00","13,017,122,070.00","2,455,516,266.00",123,"10,121,274,868.00",129,
