2017-18 SAT Performance Report - Female,,,,,
District Name,District Code,sat_tests_taken_female,reading_writing_female,math_female,math_female
Old Colony Regional Vocational Technical,08550000,      26,519,,512
Old Rochester,07400000,     132,575,,564
Oxford,02260000,      44,522,,513
Palmer,02270000,      45,551,,527
Pathfinder Regional Vocational Technical,08600000,      26,490,,477
Paulo Freire Social Justice Charter School (District),35010000,      33,460,,438
Peabody,02290000,     215,537,,527
Pembroke,02310000,     147,569,,562
Pentucket,07450000,     114,582,,586
Phoenix Academy Public Charter High School Springfield (District),35080000,      11,448,,428
Phoenix Charter Academy (District),04930000,       1,,,
Pioneer Charter School of Science (District),04940000,      36,551,,598
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      19,550,,633
Pioneer Valley,07500000,      29,528,,512
Pioneer Valley Chinese Immersion Charter (District),04970000,       9,,,
Pioneer Valley Performing Arts Charter Public (District),04790000,      50,599,,537
Pittsfield,02360000,     157,537,,522
Plymouth,02390000,     406,542,,521
Prospect Hill Academy Charter (District),04870000,      73,510,,506
Quabbin,07530000,      97,558,,536
Quaboag Regional,07780000,      42,585,,559
Quincy,02430000,     402,541,,550
Ralph C Mahar,07550000,      53,565,,557
Randolph,02440000,      82,504,,509
Reading,02460000,     213,580,,575
Revere,02480000,     306,502,,500
Rising Tide Charter Public (District),04830000,      49,581,,518
Rockland,02510000,      86,539,,532
Rockport,02520000,      38,559,,520
Roxbury Preparatory Charter (District),04840000,      43,510,,516
Sabis International Charter (District),04410000,      67,527,,506
Salem,02580000,     125,491,,475
Salem Academy Charter (District),04850000,      40,535,,518
Sandwich,02610000,      85,565,,550
Saugus,02620000,     127,533,,518
Scituate,02640000,     156,586,,571
Seekonk,02650000,      99,556,,535
Sharon,02660000,     174,611,,612
Shawsheen Valley Regional Vocational Technical,08710000,     128,522,,507
Shrewsbury,02710000,     305,601,,604
Silver Lake,07600000,     200,575,,561
Sizer School: A North Central Charter Essential (District),04740000,      11,506,,471
Somerset Berkley Regional School District,07630000,     162,562,,570
Somerville,02740000,     129,538,,519
South Hadley,02780000,      73,565,,578
South Middlesex Regional Vocational Technical,08290000,      48,485,,461
South Shore Charter Public (District),04880000,      39,552,,525
South Shore Regional Vocational Technical,08730000,      27,511,,479
Southbridge,02770000,      49,476,,460
Southeastern Regional Vocational Technical,08720000,     128,475,,457
Southern Berkshire,07650000,      19,597,,547
Southern Worcester County Regional Vocational Technical,08760000,     100,502,,486
Southwick-Tolland-Granville Regional School District,07660000,      58,553,,533
Spencer-E Brookfield,07670000,      29,546,,519
Springfield,02810000,"   1,165",435,,423
Stoneham,02840000,     129,569,,550
Stoughton,02850000,     139,557,,543
Sturgis Charter Public (District),04890000,     168,596,,564
Sutton,02900000,      57,547,,534
Swampscott,02910000,     101,588,,590
Swansea,02920000,      53,565,,539
TEC Connections Academy Commonwealth Virtual School District,39020000,      51,601,,562
Tantasqua,07700000,     135,567,,579
Taunton,02930000,     271,518,,502
Tewksbury,02950000,     153,563,,556
Tri-County Regional Vocational Technical,08780000,      80,523,,521
Triton,07730000,     117,555,,550
Tyngsborough,03010000,      85,569,,565
Upper Cape Cod Regional Vocational Technical,08790000,      40,525,,509
Uxbridge,03040000,      69,548,,527
Wachusett,07750000,     363,588,,580
Wakefield,03050000,     182,570,,560
Walpole,03070000,     228,575,,559
Waltham,03080000,     220,520,,515
Ware,03090000,      16,514,,518
Wareham,03100000,      56,536,,531
Watertown,03140000,     109,542,,545
Wayland,03150000,     126,622,,628
Webster,03160000,      52,537,,523
Wellesley,03170000,     199,632,,637
West Boylston,03220000,      35,577,,557
West Bridgewater,03230000,      79,577,,552
West Springfield,03320000,     119,541,,533
Westborough,03210000,     161,614,,621
Westfield,03250000,     177,544,,522
Westford,03260000,     249,606,,613
Weston,03300000,      69,620,,629
Westport,03310000,      38,590,,556
Westwood,03350000,     175,595,,599
Weymouth,03360000,     274,541,,520
Whitman-Hanson,07800000,     184,548,,524
Whittier Regional Vocational Technical,08850000,      96,531,,502
Wilmington,03420000,     147,562,,550
Winchendon,03430000,      21,557,,549
Winchester,03440000,     176,613,,622
Winthrop,03460000,      65,542,,527
Woburn,03470000,     208,554,,548
Worcester,03480000,"   1,022",480,,476
State Totals,00000000,"  38,246",550,,541
