2017-18  Graduates Attending Institutions of Higher Education (District) - All Students - All Colleges and Universities,,,,,,,,,,,
District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Berkshire Arts and Technology Charter Public (District),04140000,30,29,96.7,0,51.7,3.4,44.8,3.4,34.5,6.9
Berkshire Hills,06180000,122,86,70.5,0,43,26.7,30.2,22.1,8.1,7
Berlin-Boylston,06200000,79,63,79.7,0,39.7,7.9,52.4,6.3,22.2,17.5
Beverly,00300000,330,241,73,0,36.9,17,46.1,16.6,16.2,8.7
Billerica,00310000,279,213,76.3,0,38,20.2,41.8,19.2,14.1,16.9
Blackstone Valley Regional Vocational Technical,08050000,296,236,79.7,0,38.1,3.8,58.1,3.4,29.2,15.7
Blackstone-Millville,06220000,88,57,64.8,0,28.1,17.5,54.4,7,24.6,14
Blue Hills Regional Vocational Technical,08060000,209,123,58.9,0.8,28.5,32.5,38.2,31.7,12.2,22
Boston,00350000,3567,2357,66.1,0.8,34.7,30.8,33.6,30,6.9,24.7
Boston Collegiate Charter (District),04490000,76,65,85.5,0,30.8,7.7,61.5,7.7,20,26.2
Boston Day and Evening Academy Charter (District),04240000,59,19,32.2,5.3,42.1,42.1,10.5,42.1,0,10.5
Boston Green Academy Horace Mann Charter School (District),04110000,53,37,69.8,0,29.7,45.9,24.3,45.9,8.1,13.5
Boston Preparatory Charter Public (District),04160000,47,40,85.1,0,45,10,45,10,17.5,27.5
Bourne,00360000,105,77,73.3,0,28.6,31.2,40.3,27.3,18.2,13
Braintree,00400000,408,343,84.1,0,42.9,11.7,45.5,11.4,9.3,24.2
Bridgewater-Raynham,06250000,352,274,77.8,0,42.7,19.3,38,18.6,14.2,15
Bristol County Agricultural,09100000,106,65,61.3,0,18.5,35.4,46.2,35.4,13.8,13.8
Bristol-Plymouth Regional Vocational Technical,08100000,280,152,54.3,0,23.7,39.5,36.8,37.5,14.5,16.4
Brockton,00440000,1099,686,62.4,0.3,16.3,46.5,36.9,45.9,14.3,19.5
Brookline,00460000,492,376,76.4,0,61.7,5.3,33,4.3,2.1,18.1
Burlington,00480000,234,199,85,0,44.7,9.5,45.7,8.5,9,27.1
Cambridge,00490000,495,358,72.3,0,47.5,14.2,38.3,13.7,5.9,24.6
Canton,00500000,260,223,85.8,0,41.7,11.2,47.1,10.8,9.9,18.8
Cape Cod Regional Vocational Technical,08150000,137,51,37.2,0,19.6,51,29.4,49,19.6,7.8
Carver,00520000,105,89,84.8,0,31.5,24.7,43.8,23.6,23.6,14.6
Central Berkshire,06350000,117,87,74.4,1.1,34.5,21.8,42.5,21.8,20.7,14.9
Chelmsford,00560000,380,338,88.9,0,41.4,10.4,48.2,10.4,8,22.8
Chelsea,00570000,301,178,59.1,0,13.5,52.8,33.7,51.7,12.4,20.2
Chicopee,00610000,514,308,59.9,0,26.9,57.5,15.6,56.8,6.8,5.2
City on a Hill Charter Public School Circuit Street (District),04370000,32,25,78.1,0,32,12,56,12,36,20
City on a Hill Charter Public School Dudley Square (District),35040000,46,40,87,0,32.5,22.5,45,22.5,22.5,20
City on a Hill Charter Public School New Bedford (District),35070000,27,18,66.7,0,22.2,22.2,55.6,22.2,5.6,50
Clinton,00640000,106,70,66,0,14.3,25.7,60,22.9,31.4,14.3
Codman Academy Charter Public (District),04380000,25,19,76,0,47.4,15.8,36.8,15.8,31.6,5.3
Cohasset,00650000,94,85,90.4,0,57.6,7.1,35.3,7.1,3.5,14.1
Community Charter School of Cambridge (District),04360000,49,44,89.8,0,43.2,2.3,54.5,2.3,15.9,36.4
Concord-Carlisle,06400000,328,284,86.6,0,67.6,5.6,26.8,5.6,1.8,7
Danvers,00710000,230,194,84.3,0,43.3,14.9,41.8,14.4,13.4,14.4
Dartmouth,00720000,249,212,85.1,0,24.1,25.5,50,24.5,10.4,30.7
Dedham,00730000,158,121,76.6,0,34.7,18.2,47.1,18.2,18.2,19
Dennis-Yarmouth,06450000,188,136,72.3,0,39,21.3,39.7,20.6,14,17.6
Dighton-Rehoboth,06500000,200,150,75,0,26.7,12.7,58.7,10.7,20.7,19.3
Douglas,00770000,89,62,69.7,0,41.9,22.6,35.5,19.4,19.4,4.8
Dover-Sherborn,06550000,163,143,87.7,0,68.5,0.7,30.8,0.7,1.4,5.6
Dracut,00790000,184,151,82.1,0,35.1,28.5,36.4,28.5,9.9,18.5
Dudley-Charlton Reg,06580000,292,228,78.1,0,41.7,20.2,38.2,18.9,19.3,9.2
Duxbury,00820000,278,237,85.3,0,55.3,4.6,40.1,3.8,5.5,16
East Bridgewater,00830000,159,118,74.2,0,31.4,18.6,50,18.6,29.7,10.2
