2017-18 Class Size by Gender and Selected Population ,,,,,,,,
District Name,District Code,Number of Classes,Average Class Size,% Class Female,% Class Male,% Class ELL,% Class Disabled,% Class Low Income
Dracut,790000,"1,650",20.3,48.9,51.1,2,16.6,21.7
Dudley Street Neighborhood Charter School (District),4070000,38,20.9,53.8,46.2,22.4,11.9,56.6
Dudley-Charlton Reg,6580000,"1,706",18.9,49.2,50.8,2.1,13.9,20
Duxbury,820000,"1,399",20.6,49.6,50.3,0.4,13.5,5.6
East Bridgewater,830000,"1,027",21.2,49.2,50.8,0.9,19,15.4
East Longmeadow,870000,"1,102",18.8,48.2,51.8,2.3,16.9,17.9
Eastham,850000,143,13.2,48.7,51.3,2.7,21.4,17.6
Easthampton,860000,551,18,49.7,50.2,2.4,18.6,28.4
Easton,880000,"1,216",19.8,49.8,50.2,1.6,17.6,11.9
Edgartown,890000,255,16.2,51.3,48.7,20.3,23.7,28.7
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,156,18.2,61.4,38.6,14.7,14.7,53.6
Erving,910000,56,18.1,47.9,52.1,1.4,18.8,27.1
Essex North Shore Agricultural and Technical School District,8170000,833,17.4,58.4,41.6,0.3,16.4,16
Everett,930000,"3,536",19.7,48.7,51.3,23.3,17.3,47.1
Excel Academy Charter (District),4100000,405,24.2,50.7,49.3,15.3,20.5,40.1
Fairhaven,940000,996,18.6,49.4,50.6,2,16,27
Fall River,950000,"4,673",18.6,48.4,51.6,16.7,20.4,66.2
Falmouth,960000,"1,757",17,48.7,51.3,3.8,17.2,28.2
Farmington River Reg,6620000,76,13.5,38.2,61.8,0,22,38.2
Fitchburg,970000,"2,340",19.2,48.2,51.8,13,22.2,58.9
Florida,980000,85,7.9,48.8,51.2,0,31.7,24.4
Four Rivers Charter Public (District),4130000,363,13,49.3,50.7,0,13,25.1
Foxborough,990000,"1,501",16.8,47.9,52.1,2.2,19.3,14.9
Foxborough Regional Charter (District),4460000,768,20.1,52.8,47.1,13.5,8.2,18.3
Framingham,1000000,"4,718",17,49,51,23.1,22.3,32.5
Francis W. Parker Charter Essential (District),4780000,238,17.2,53.3,46.3,0,14,4.3
Franklin,1010000,"2,436",18.9,48.1,51.8,1.1,17.4,9
Franklin County Regional Vocational Technical,8180000,289,14.6,31.2,68.8,0.2,31.8,33.4
Freetown-Lakeville,6650000,980,19.3,49.3,50.7,0.7,14.7,16.7
Frontier,6700000,445,13.1,46.1,53.9,1.4,19.4,18.6
Gardner,1030000,835,18.8,48,52,3.8,22.7,50.4
Gateway,6720000,564,14.3,48.1,51.9,2.7,20.2,29.5
Georgetown,1050000,685,15.5,49,51,0.2,12.9,8.8
Gill-Montague,6740000,579,14.2,49.2,50.8,5,24.7,44.7
Global Learning Charter Public (District),4960000,412,14.4,49.9,50.1,9.3,14.9,52.1
Gloucester,1070000,"1,124",17.1,48,52,5.9,26,34.6
Gosnold,1090000,11,2,50,50,0,0,0
Grafton,1100000,"1,580",19.2,48.1,51.9,1.1,18.4,10.8
Granby,1110000,428,15.9,47,53,3.8,16.2,24.8
Greater Fall River Regional Vocational Technical,8210000,886,13.7,44,56,2.2,9.7,35.6
Greater Lawrence Regional Vocational Technical,8230000,"1,363",13.5,50.1,49.9,12.4,20.8,50.6
Greater Lowell Regional Vocational Technical,8280000,"1,362",18.8,44.4,55.6,6.1,15.5,41.1
Greater New Bedford Regional Vocational Technical,8250000,"1,792",15.7,49.6,50.4,3.1,10.6,36.4
Greenfield,1140000,959,16.1,48,51.9,6.4,16.6,48.3
Groton-Dunstable,6730000,920,18.7,49.4,50.6,1.1,17.2,6.9
Hadley,1170000,435,14.6,46.9,53.1,2.9,14.1,17.1
Halifax,1180000,240,21.5,49.7,50.3,0.8,15.7,17.7
Hamilton-Wenham,6750000,901,17.8,51.1,48.9,0.6,15.7,6.2
Hampden Charter School of Science East (District),4990000,254,17.5,52,48,3.3,11.8,37.5
Hampden-Wilbraham,6800000,"1,101",19.4,50.3,49.7,0.8,14.7,14.5
Hampshire,6830000,541,12.9,54.5,45.5,1,21.2,15.8
Hancock,1210000,82,5,38.6,61.4,0,9.1,18.2
