2017-18 Enrollment By Race/Gender Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_aa,enroll_asian,enroll_hispanic,enroll_white,enroll_native,enroll_islander,enroll_multirace,%_enroll_male,%_enroll_female,enroll_not_white
Global Learning Charter Public (District),4960000,10.2,0.8,36,47.2,0.8,0,5.1,50.3,49.7,52.8
Gloucester,1070000,1.8,1.4,9.9,83.1,0.3,0.3,3.2,51.8,48.2,16.9
Gosnold,1090000,0,0,0,100,0,0,0,50,50,0
Grafton,1100000,1.3,11.5,4.5,79.3,0.1,0.1,3.1,51.8,48.2,20.7
Granby,1110000,0.1,2,8.4,86,0.4,0,3,53.2,46.8,14
Greater Fall River Regional Vocational Technical,8210000,2.3,1.7,9.8,79.5,0.5,0.1,6.1,55.8,44.2,20.5
Greater Lawrence Regional Vocational Technical,8230000,0.9,1.2,82,15.8,0.1,0,0,49.9,50.1,84.2
Greater Lowell Regional Vocational Technical,8280000,3.7,16.3,32.2,44.2,0.3,0,3.3,55.4,44.6,55.8
Greater New Bedford Regional Vocational Technical,8250000,8.1,0.8,21.6,65.1,0.5,0,3.9,50.3,49.7,34.9
Greenfield,1140000,2.2,1.5,18.1,72.5,0,0,5.7,52.1,47.9,27.5
Groton-Dunstable,6730000,0.7,6.1,1.8,89.1,0.2,0.1,1.9,50.8,49.2,10.9
Hadley,1170000,2.5,1.7,8.9,80.2,0.4,2.6,3.8,52.7,47.3,19.8
Halifax,1180000,1.5,0.5,2.2,92.8,0.3,0.2,2.5,50.6,49.4,7.2
Hamilton-Wenham,6750000,0.7,3.5,4,89.2,0.2,0.3,2.1,48.9,51.1,10.8
Hampden Charter School of Science East (District),4990000,27.5,2.4,31.8,36.7,0,0,1.6,48.1,51.9,63.3
Hampden-Wilbraham,6800000,2.5,2.5,5.9,85.7,0.2,0.1,3.1,49.6,50.4,14.3
Hampshire,6830000,0.6,0.7,3.3,93.2,0,0,2.3,45.5,54.5,6.8
Hancock,1210000,2.4,0,0,97.6,0,0,0,61.9,38.1,2.4
Hanover,1220000,0.8,2.2,1.8,94.8,0,0,0.5,52.7,47.2,5.2
Harvard,1250000,2.4,11.1,4.6,79.4,0,0,2.6,50.3,49.6,20.6
Hatfield,1270000,0.9,1.4,3.7,92,0,0,2.1,52.3,47.5,8
Haverhill,1280000,4.1,1.8,35,57.1,0.2,0.1,1.8,51.7,48.3,42.9
Hawlemont,6850000,0.6,0,9.2,84,0.6,0,5.5,41.7,58.3,16
Helen Y. Davis Leadership Academy Charter Public (District),4190000,76.6,0.5,21,0.9,0.5,0.5,0,54.7,45.3,99.1
Hill View Montessori Charter Public (District),4550000,5.6,0.7,21.5,69.3,0,0,3,42.6,57.4,30.7
Hilltown Cooperative Charter Public (District),4500000,0.5,1.4,6,80.7,0,0,11.5,53.7,46.3,19.3
Hingham,1310000,1.3,2.6,2.8,90.4,0,0,2.9,51.6,48.4,9.6
Holbrook,1330000,19.8,4.5,12.3,54.9,0.1,0,8.3,51.3,48.7,45.1
Holland,1350000,2.1,1.7,5.2,90.1,0.4,0,0.4,51.9,48.1,9.9
Holliston,1360000,1,7.7,4.4,83.5,0.3,0,3.1,51.4,48.6,16.5
Holyoke,1370000,3.1,0.8,79.8,14.9,0,0.1,1.3,52.3,47.7,85.1
Holyoke Community Charter (District),4530000,1.7,0.4,91.2,5,0,0,1.7,42.5,57.5,95
Hopedale,1380000,0.9,1.5,4.6,89.1,0.6,0.2,3.2,51.9,48.1,10.9
Hopkinton,1390000,0.8,13.8,2.5,79.8,0.3,0,2.8,50.5,49.5,20.2
Hudson,1410000,1.7,2,10.6,82.9,0.1,0,2.7,49.1,50.9,17.1
Hull,1420000,1.7,0.8,1.1,95,0,0,1.5,53.8,46.2,5
Innovation Academy Charter (District),4350000,4.1,7.4,7.2,76.9,0,0,4.4,48,52,23.1
Ipswich,1440000,1.2,1.6,5,88.5,0,0,3.7,50,49.9,11.5
King Philip,6900000,1.9,1.8,2.1,92.1,0,0,2.2,52.3,47.6,7.9
Kingston,1450000,0.9,0.5,3.1,94.6,0.5,0,0.4,51.9,48,5.4
KIPP Academy Boston Charter School (District),4630000,69.2,0.4,28.9,0.4,0,0,1.3,53.4,46.6,99.6
KIPP Academy Lynn Charter (District),4290000,20.5,3.2,66.6,6.4,0.2,0,3.1,49.9,50.1,93.6
Lanesborough,1480000,2.4,0,1.9,94.3,0,0,1.4,45.2,54.8,5.7
Lawrence,1490000,1.3,1.3,92.9,4,0,0,0.4,52.1,47.9,96
Lawrence Family Development Charter (District),4540000,0.8,0,98.4,0.8,0,0,0,45.7,54.3,99.2
Lee,1500000,0.6,2.3,8.1,85.7,0.1,0,3.2,50.6,49.4,14.3
Leicester,1510000,4.7,2.7,8.5,81.1,0.3,0.1,2.6,53.8,46.2,18.9
Lenox,1520000,0.5,5.3,7.4,83.7,0,0,3,49.7,50.3,16.3
Leominster,1530000,7.8,3.3,32.7,52.1,0.1,0,3.9,52.2,47.8,47.9
Leverett,1540000,0,0,6.4,82.4,0,0,11.2,58.4,41.6,17.6
Lexington,1550000,4,38.1,3.4,48,0.1,0,6.4,51,49,52
Libertas Academy Charter School (District),35140000,12.2,0,84.4,2.2,0,0,1.1,54.4,45.6,97.8
Lincoln,1570000,9.7,3.6,16.7,60.5,0.2,0.2,9.2,51.5,48.5,39.5
Lincoln-Sudbury,6950000,4.6,6.2,4.6,80,0.1,0.1,4.4,51.4,48.5,20
Littleton,1580000,1.1,7.7,1.8,86.3,0.2,0.2,2.7,47.7,52.3,13.7
Longmeadow,1590000,2.4,9.5,4.4,79.6,0.1,0.1,3.8,51.3,48.7,20.4
Lowell,1600000,7.9,28.9,31.9,27.4,0.1,0,3.9,51.7,48.3,72.6
Lowell Community Charter Public (District),4560000,26.8,19.9,46.8,3.1,0,0,3.4,49,51,96.9
Lowell Middlesex Academy Charter (District),4580000,2.2,23.1,37.4,31.9,0,0,5.5,54.9,45.1,68.1
Ludlow,1610000,1.8,0.3,9.5,85.2,0.5,0,2.7,50.7,49.3,14.8
Lunenburg,1620000,2,2.3,6.2,86.6,0.5,0.4,2.1,51.4,48.6,13.4
Lynn,1630000,9.4,8.9,61.6,16.2,0.3,0,3.6,52.7,47.3,83.8
Lynnfield,1640000,1.6,5.3,5.3,85.5,0,0,2.3,50.8,49.2,14.5
Ma Academy for Math and Science,4680000,1,45.8,3.1,40.6,0,0,9.4,50,50,59.4
Malden,1650000,19.5,23.7,23.2,29.3,0.2,0,4.1,51.5,48.5,70.7
Manchester Essex Regional,6980000,0.4,0.9,1.1,96.8,0,0,0.9,49.3,50.7,3.2
