2017-18 Selected Populations Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_first_not_english,%_enroll_first_not_english,enroll_ELL,%_enroll_ELL,enroll_disabilities,%_enroll_disabilities,enroll_highneeds,%_enroll_high_needs,enroll_low_econ,%_enroll_low_econ
Douglas,770000,6,0.5,5,0.4,256,19,407,30.3,213,16
Dover,780000,30,6.1,13,2.6,79,15.9,107,21.5,14,2.8
Dover-Sherborn,6550000,47,3.9,7,0.6,201,16.5,247,20.3,51,4.3
Dracut,790000,145,4.1,71,2,592,16.4,1290,35.7,814,22.9
Dudley Street Neighborhood Charter School (District),4070000,85,29.9,58,20.4,34,12,206,72.5,165,58.1
Dudley-Charlton Reg,6580000,266,6.8,86,2.2,553,14,1220,30.8,819,20.9
Duxbury,820000,44,1.4,14,0.5,434,13.9,587,18.8,190,6.1
East Bridgewater,830000,25,1.1,18,0.8,443,19.1,729,31.5,378,16.5
East Longmeadow,870000,196,7.4,60,2.3,473,17.5,887,32.9,475,17.9
Eastham,850000,7,4.1,3,1.7,30,17.3,63,36.4,45,26.2
Easthampton,860000,89,5.8,30,1.9,279,17.8,648,41.4,474,30.8
Easton,880000,156,4.2,49,1.3,668,17.7,1009,26.8,459,12.3
Edgartown,890000,105,30.8,63,18.5,87,25.5,183,53.7,102,29.9
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,209,55,68,17.9,55,14.5,276,72.6,214,56.3
Erving,910000,2,1.4,2,1.4,25,17.5,60,42,42,29.6
Essex North Shore Agricultural and Technical School District,8170000,95,6.9,4,0.3,246,17.8,454,32.9,253,18.3
Everett,930000,4549,64.4,1433,20.3,1179,16.5,4861,67.9,3591,50.8
Excel Academy Charter (District),4100000,691,61.3,164,14.6,218,19.3,736,65.3,519,46.1
Fairhaven,940000,75,3.7,38,1.9,317,15.3,802,38.6,595,29
Fall River,950000,2409,23.8,1536,15.2,2106,20.5,7756,75.5,6879,67.9
Falmouth,960000,229,6.8,106,3.1,582,17,1420,41.5,1027,30.4
Farmington River Reg,6620000,1,0.8,0,0,26,21,55,44.4,42,34.7
Fitchburg,970000,1747,32.7,739,13.8,1310,23.9,3895,71.1,3309,61.9
