2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white,%_completedadvanced_nonwhite
Hull,1420000,132,98,74.2,19.7,64.4,32.6,48.5,0,0,25.8
Innovation Academy Charter (District),4350000,150,106,70.7,22,57.3,25.3,30.7,0,13,29.3
Ipswich,1440000,211,122,57.8,17.1,52.6,20.4,25.1,0.5,9,42.2
KIPP Academy Lynn Charter (District),4290000,14,12,85.7,35.7,78.6,35.7,21.4,0,14,14.3
King Philip,6900000,613,480,78.3,32.1,76.7,14.5,27.7,2.4,10,21.7
Lawrence,1490000,53,36,67.9,5.7,52.8,35.8,9.4,3.8,0,32.1
Lee,1500000,96,57,59.4,40.6,42.7,25,6.3,0,17,40.6
Leicester,1510000,195,129,66.2,27.7,54.9,4.1,22.1,0,0,33.8
Lenox,1520000,93,74,79.6,0,73.1,43,0,9.7,19,20.4
Leominster,1530000,539,395,73.3,21.2,47.9,34.1,24.1,0.7,36,26.7
Lexington,1550000,607,502,82.7,0,79.4,25,40,0.3,12,17.3
Lincoln-Sudbury,6950000,592,523,88.3,0,88,13.2,0,1.5,5,11.7
Littleton,1580000,204,200,98,64.2,93.1,58.8,66.2,1.5,36,2
Longmeadow,1590000,383,314,82,21.9,66.6,64.2,20.4,3.4,13,18
Lowell,1600000,479,365,76.2,21.3,48.9,49.1,34.9,0,2,23.8
Lowell Middlesex Academy Charter (District),4580000,20,8,40,40,0,0,0,0,0,60
Ludlow,1610000,363,168,46.3,14,32,20.9,13.2,0,1,53.7
Lunenburg,1620000,186,125,67.2,39.8,45.2,17.2,41.4,3.2,6,32.8
Lynn,1630000,377,240,63.7,13.8,57.3,20.7,24.4,1.1,6,36.3
Lynnfield,1640000,290,267,92.1,37.9,91,20.7,47.6,0,15,7.9
MATCH Charter Public School (District),4690000,7,7,100,57.1,28.6,42.9,42.9,0,29,0
Ma Academy for Math and Science,4680000,39,39,100,56.4,100,46.2,38.5,7.7,44,0
Malden,1650000,250,132,52.8,14.4,36.8,9.6,25.6,0.4,2,47.2
Manchester Essex Regional,6980000,198,161,81.3,19.2,58.6,54,46,0,15,18.7
Mansfield,1670000,549,353,64.3,15.1,50.3,17.3,23.9,1.6,4,35.7
Marblehead,1680000,442,339,76.7,12.2,61.3,41,0,0,8,23.3
Marlborough,1700000,292,275,94.2,64,70.5,44.5,36.3,4.1,29,5.8
Marshfield,1710000,635,519,81.7,15,63,43.3,27.7,1.9,5,18.3
Martha's Vineyard,7000000,230,149,64.8,22.6,56.1,16.1,18.7,3,7,35.2
Martha's Vineyard Charter (District),4660000,19,19,100,0,52.6,94.7,0,0,0,0
Masconomet,7050000,515,443,86,7.4,83.5,28.2,29.7,5.2,10,14
Mashpee,1720000,164,119,72.6,20.7,68.9,28,19.5,5.5,4,27.4
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,39010000,70,20,28.6,18.6,14.3,1.4,4.3,0,0,71.4
Maynard,1740000,141,97,68.8,24.1,56.7,22.7,13.5,0,5,31.2
Medfield,1750000,367,334,91,12.5,86.9,8.2,62.1,7.4,6,9
Medford,1760000,438,256,58.4,16.7,51.4,7.1,17.4,0.2,7,41.6
Medway,1770000,335,311,92.8,23,92.2,14.3,37.6,2.1,15,7.2
Melrose,1780000,402,305,75.9,32.3,71.6,23.6,36.3,0,17,24.1
Mendon-Upton,7100000,283,217,76.7,23.3,62.9,29,27.6,1.4,11,23.3
Methuen,1810000,542,316,58.3,11.1,51.1,12.5,26.8,0.9,1,41.7
Middleborough,1820000,313,294,93.9,49.8,83.4,44.1,47.3,10.2,36,6.1
Milford,1850000,360,215,59.7,15.6,53.1,19.2,20.8,1.1,2,40.3
Millbury,1860000,181,181,100,87.8,87.8,54.1,61.9,42,99,0
Millis,1870000,184,151,82.1,14.7,77.7,17.9,23.4,6.5,24,17.9
Milton,1890000,320,243,75.9,32.5,49.1,30,42.8,5,22,24.1
Minuteman Regional Vocational Technical,8300000,202,114,56.4,11.9,46,27.2,18.3,1.5,5,43.6
Mohawk Trail,7170000,115,65,56.5,22.6,48.7,6.1,13,0,0,43.5
Monomoy Regional School District,7120000,185,103,55.7,28.1,45.4,18.4,23.8,2.2,6,44.3
Monson,1910000,131,91,69.5,54.2,58.8,11.5,4.6,1.5,0,30.5
Montachusett Regional Vocational Technical,8320000,529,289,54.6,33.5,51.8,31,27,3.8,27,45.4
Mount Greylock,7150000,159,121,76.1,24.5,71.1,12.6,49.1,0.6,5,23.9
Mystic Valley Regional Charter (District),4700000,99,96,97,73.7,89.9,86.9,79.8,10.1,47,3
Nantucket,1970000,147,116,78.9,31.3,73.5,15,13.6,0.7,18,21.1
Narragansett,7200000,157,127,80.9,21.7,76.4,14,22.9,0,3,19.1
Nashoba,7250000,440,385,87.5,9.1,86.4,27.7,52.5,1.1,5,12.5
Nashoba Valley Regional Vocational Technical,8520000,307,205,66.8,38.4,62.5,23.8,20.2,7.8,17,33.2
Natick,1980000,623,444,71.3,12.5,59.7,20.5,48.3,0.6,10,28.7
Nauset,6600000,394,272,69,9.4,54.6,39.8,34.3,12.9,1,31
Needham,1990000,670,594,88.7,29,86.6,11.9,36.4,2.7,7,11.3
New Bedford,2010000,268,102,38.1,14.6,35.4,9.7,5.6,2.6,1,61.9
Newburyport,2040000,341,221,64.8,23.8,49.6,20.5,21.4,4.7,1,35.2
Newton,2070000,"1,324",958,72.4,10.2,58.4,19.2,35.3,0.8,4,27.6
Norfolk County Agricultural,9150000,247,109,44.1,0,44.1,0,0,0,13,55.9
North Adams,2090000,123,88,71.5,69.1,32.5,32.5,22,0,1,28.5
North Andover,2110000,621,415,66.8,8.7,62.2,15.3,31.7,3.2,9,33.2
North Attleborough,2120000,499,297,59.5,12.4,55.1,16.4,25.3,0,7,40.5
North Brookfield,2150000,62,37,59.7,40.3,51.6,12.9,11.3,0,0,40.3
North Middlesex,7350000,352,215,61.1,0.6,43.2,36.1,10.8,0.6,4,38.9
North Reading,2170000,363,246,67.8,22,49,28.7,26.2,0,3,32.2
Northampton,2100000,324,284,87.7,52.5,78.4,26.5,31.8,0,4,12.3
Northampton-Smith Vocational Agricultural,4060000,193,87,45.1,26.9,41.5,25.9,17.6,0,27,54.9
Northboro-Southboro,7300000,584,380,65.1,13.9,52.7,14.7,40.2,3.6,7,34.9
Northbridge,2140000,258,161,62.4,20.9,47.7,24.8,25.2,1.6,9,37.6
Northeast Metropolitan Regional Vocational Technical,8530000,374,296,79.1,57,64.4,45.5,31.3,0,44,20.9
Northern Berkshire Regional Vocational Technical,8510000,208,208,100,78.4,87,80.3,83.7,0,63,0
Norton,2180000,351,210,59.8,0,56.4,8.8,16,0.6,0,40.2
Norwell,2190000,321,306,95.3,20.9,94.1,12.5,48,8.4,13,4.7
Norwood,2200000,345,343,99.4,44.6,95.4,57.4,55.1,13.3,47,0.6
Old Colony Regional Vocational Technical,8550000,235,125,53.2,32.8,53.2,32.8,19.1,0,33,46.8
Old Rochester,7400000,354,294,83.1,25.4,77.1,31.9,29.1,1.4,7,16.9
Oxford,2260000,171,102,59.6,22.8,47.4,8.8,20.5,5.3,1,40.4
Palmer,2270000,168,121,72,25,64.3,35.1,10.7,1.2,2,28
Pathfinder Regional Vocational Technical,8600000,240,126,52.5,31.3,45.4,16.7,15,0,17,47.5
Paulo Freire Social Justice Charter School (District),35010000,11,3,27.3,18.2,18.2,9.1,9.1,9.1,9,72.7
Peabody,2290000,571,274,48,0,38.5,15.1,14.7,0.4,2,52
Pembroke,2310000,487,370,76,12.3,71.5,11.9,30,0.8,15,24
Pentucket,7450000,320,240,75,11.3,69.4,28.1,20.9,0.9,10,25
Phoenix Charter Academy (District),4930000,3,,,,,,,,,100
Pioneer Charter School of Science (District),4940000,25,22,88,44,80,44,4,0,28,12
Pioneer Charter School of Science II (PCSS-II) (District),35060000,17,16,94.1,41.2,70.6,58.8,29.4,0,18,5.9
Pioneer Valley,7500000,118,105,89,25.4,84.7,23.7,28,0,9,11
Pioneer Valley Chinese Immersion Charter (District),4970000,16,16,100,100,100,100,100,0,100,0
Pioneer Valley Performing Arts Charter Public (District),4790000,84,43,51.2,1.2,45.2,2.4,4.8,1.2,0,48.8
Pittsfield,2360000,513,304,59.3,26.3,47.6,16.4,21.1,4.3,11,40.7
Plymouth,2390000,"1,007",736,73.1,15.8,66.6,25,27.7,4.1,6,26.9
Prospect Hill Academy Charter (District),4870000,20,20,100,45,80,65,30,0,65,0
Quabbin,7530000,292,283,96.9,96.6,56.8,13.4,24.3,4.1,16,3.1
Quaboag Regional,7780000,155,88,56.8,40.6,39.4,24.5,34.2,5.8,0,43.2
Quincy,2430000,673,295,43.8,12,37.6,3.3,16.5,0.9,4,56.2
Ralph C Mahar,7550000,244,111,45.5,4.1,35.7,29.1,4.1,1.2,0,54.5
Randolph,2440000,28,12,42.9,28.6,35.7,21.4,3.6,0,4,57.1
Reading,2460000,541,338,62.5,1.7,59.9,17.9,12,3.5,12,37.5
Revere,2480000,293,238,81.2,8.9,80.9,12.3,17.1,0,5,18.8
Rising Tide Charter Public (District),4830000,123,94,76.4,0,72.4,41.5,0,0,0,23.6
Rockland,2510000,216,216,100,98.1,93.5,81.9,58.8,43.5,81,0
Rockport,2520000,137,97,70.8,13.1,66.4,21.9,26.3,0,4,29.2
Sabis International Charter (District),4410000,53,44,83,34,83,13.2,37.7,0,4,17
Salem,2580000,202,115,56.9,18.3,39.6,22.3,35.6,4,0,43.1
Salem Academy Charter (District),4850000,46,37,80.4,30.4,43.5,47.8,52.2,0,4,19.6
Sandwich,2610000,331,219,66.2,12.1,58.9,10.9,38.1,0,5,33.8
Saugus,2620000,248,248,100,81,92.3,56.9,61.3,52,98,0
Scituate,2640000,417,377,90.4,50.1,84.4,56.4,30.2,6.5,12,9.6
Seekonk,2650000,262,164,62.6,14.5,45,34,27.5,0,0,37.4
Sharon,2660000,344,251,73,4.7,68.9,16.9,41.9,0.6,12,27
Shawsheen Valley Regional Vocational Technical,8710000,599,421,70.3,49.1,69.3,23.4,28.5,0,50,29.7
Shrewsbury,2710000,595,554,93.1,11.3,93.1,27.4,26.6,1.8,2,6.9
Silver Lake,7600000,573,362,63.2,29.8,54.3,16.6,28.6,0.3,12,36.8
Sizer School: A North Central Charter Essential (District),4740000,58,20,34.5,0,34.5,0,0,0,0,65.5
Somerset Berkley Regional School District,7630000,445,424,95.3,58.7,63.4,46.1,62.2,7.6,25,4.7
Somerville,2740000,171,120,70.2,31,63.7,28.1,35.7,0,9,29.8
South Hadley,2780000,229,147,64.2,34.5,56.3,20.5,26.2,0,5,35.8
South Middlesex Regional Vocational Technical,8290000,149,100,67.1,24.8,59.1,31.5,18.1,2,23,32.9
South Shore Charter Public (District),4880000,73,49,67.1,20.5,58.9,19.2,9.6,0,0,32.9
South Shore Regional Vocational Technical,8730000,285,126,44.2,29.5,43.9,30.9,3.2,0,29,55.8
Southbridge,2770000,106,56,52.8,21.7,50,2.8,14.2,0,2,47.2
Southeastern Regional Vocational Technical,8720000,339,212,62.5,38.3,57.8,33.6,31,1.2,27,37.5
Southern Berkshire,7650000,79,38,48.1,0,35.4,25.3,13.9,0,1,51.9
Southern Worcester County Regional Vocational Technical,8760000,469,252,53.7,37.5,49.3,32.4,29.6,0,28,46.3
Southwick-Tolland-Granville Regional School District,7660000,222,88,39.6,2.7,28.8,15.8,5.9,0,9,60.4
Spencer-E Brookfield,7670000,138,111,80.4,16.7,75.4,13,13.8,0,1,19.6
Springfield,2810000,445,238,53.5,28.3,41.3,8.5,10.8,5.2,6,46.5
Stoneham,2840000,279,206,73.8,21.9,65.2,6.1,23.3,0,12,26.2
Stoughton,2850000,339,193,56.9,10,55.2,13.3,12.7,0,7,43.1
Sturgis Charter Public (District),4890000,320,320,100,99.7,99.4,96.6,100,30.9,93,0
Sutton,2900000,194,157,80.9,46.9,74.2,33,25.3,0,7,19.1
Swampscott,2910000,278,184,66.2,11.5,61.2,9,35.6,3.2,7,33.8
Swansea,2920000,237,147,62,44.3,49.4,32.5,0.8,0,10,38
TEC Connections Academy Commonwealth Virtual School District,39020000,396,118,29.8,6.8,25.3,3.3,6.3,0,0,70.2
Tantasqua,7700000,522,318,60.9,27.8,53.3,28,7.5,0.8,1,39.1
Taunton,2930000,673,394,58.5,16.5,53.5,9.4,21.1,0.1,5,41.5
Tewksbury,2950000,433,301,69.5,0,62.8,5.5,29.6,8.3,1,30.5
Tri-County Regional Vocational Technical,8780000,419,259,61.8,29.1,61.3,27.4,22,0,22,38.2
Triton,7730000,338,210,62.1,7.4,53.8,13.9,22.5,4.4,8,37.9
Tyngsborough,3010000,215,163,75.8,14,72.1,23.3,2.8,0,0,24.2
Upper Cape Cod Regional Vocational Technical,8790000,292,197,67.5,43.5,67.5,42.5,0,0,42,32.5
Uxbridge,3040000,256,119,46.5,16.8,39.5,30.9,12.5,0,0,53.5
