2017-18 Advanced Placement Performance - All Subjects - White,,,,,,,,,
District Name,District Code,tests_taken_white,score=1_white,score=2_white,score=3_white,score=4_white,score=5_white,%_score_1-2_white,%_score_3-5_white
Tyngsborough,03010000,      88,       2,      18,      30,      22,      16,  22.7,  77.3
Upper Cape Cod Regional Vocational Technical,08790000,      16,       2,       7,       5,       0,       2,  56.3,  43.8
Uxbridge,03040000,     165,      23,      70,      43,      22,       7,  56.4,  43.6
Wachusett,07750000,     553,      12,      53,     131,     176,     181,  11.8,  88.2
Wakefield,03050000,     321,      15,      91,     101,      67,      47,  33.0,  67.0
Walpole,03070000,     350,      19,      45,      99,     114,      73,  18.3,  81.7
Waltham,03080000,     289,      25,      69,      77,      70,      48,  32.5,  67.5
Ware,03090000,      50,       6,      17,      18,       8,       1,  46.0,  54.0
Wareham,03100000,     131,      30,      50,      32,      12,       7,  61.1,  38.9
Watertown,03140000,     144,       9,      26,      43,      46,      20,  24.3,  75.7
Wayland,03150000,     291,       8,      27,      68,      87,     101,  12.0,  88.0
Webster,03160000,     166,      28,      62,      42,      15,      19,  54.2,  45.8
Wellesley,03170000,     474,      11,      27,      95,     161,     180,   8.0,  92.0
West Boylston,03220000,      76,      13,      28,      14,      15,       6,  53.9,  46.1
West Bridgewater,03230000,     197,      30,      77,      56,      26,       8,  54.3,  45.7
West Springfield,03320000,     296,      37,      97,      83,      52,      27,  45.3,  54.7
Westborough,03210000,     293,      16,      21,      47,     110,      99,  12.6,  87.4
Westfield,03250000,     497,     114,     139,     146,      72,      26,  50.9,  49.1
Westford,03260000,     422,       1,      13,      66,     148,     194,   3.3,  96.7
Weston,03300000,     401,      21,      42,     102,     123,     113,  15.7,  84.3
Westport,03310000,     126,      17,      40,      32,      25,      12,  45.2,  54.8
Westwood,03350000,     551,      11,      42,     127,     164,     207,   9.6,  90.4
Weymouth,03360000,     369,      29,      87,     114,      91,      48,  31.4,  68.6
Whitman-Hanson,07800000,     617,      51,     200,     197,     120,      49,  40.7,  59.3
Wilmington,03420000,     303,      34,      78,      99,      52,      40,  37.0,  63.0
Winchendon,03430000,     104,      27,      39,      21,       7,      10,  63.5,  36.5
Winchester,03440000,     439,      11,      28,     124,     141,     135,   8.9,  91.1
Winthrop,03460000,     235,     103,      47,      49,      21,      15,  63.8,  36.2
Woburn,03470000,     292,      50,      77,      85,      53,      27,  43.5,  56.5
Worcester,03480000,"   1,003",     296,     280,     233,     129,      65,  57.4,  42.6
State Totals,00000000,"  71,527","   7,455","  14,782","  19,245","  17,232","  12,813",  31.1,  68.9
