2017-18 SAT Performance Report - High Needs,,,,,
District Name,District Code,sat_tests_taken_highneeds,reading_writing_highneeds,math_highneeds,math_highneeds
Southbridge,02770000,      45,452,,438
Southeastern Regional Vocational Technical,08720000,     101,464,,450
Southern Berkshire,07650000,      10,553,,514
Southern Worcester County Regional Vocational Technical,08760000,      51,514,,504
Southwick-Tolland-Granville Regional School District,07660000,      19,506,,537
Spencer-E Brookfield,07670000,      12,521,,506
Springfield,02810000,"   1,688",417,,415
Stoneham,02840000,      38,512,,507
Stoughton,02850000,      68,521,,512
Sturgis Charter Public (District),04890000,      66,540,,523
Sutton,02900000,       9,,,
Swampscott,02910000,      37,528,,538
Swansea,02920000,      15,563,,554
TEC Connections Academy Commonwealth Virtual School District,39020000,      16,578,,553
Tantasqua,07700000,      38,562,,564
Taunton,02930000,     201,477,,464
Tewksbury,02950000,      42,517,,514
Tri-County Regional Vocational Technical,08780000,      34,490,,481
Triton,07730000,      25,511,,546
Tyngsborough,03010000,      20,504,,485
Upper Cape Cod Regional Vocational Technical,08790000,      23,497,,503
Uxbridge,03040000,      25,525,,507
Wachusett,07750000,      79,545,,537
Wakefield,03050000,      54,534,,520
Walpole,03070000,      60,504,,500
Waltham,03080000,     110,471,,468
Ware,03090000,      11,515,,545
Wareham,03100000,      39,507,,515
Watertown,03140000,      73,512,,518
Wayland,03150000,      52,563,,572
Webster,03160000,      27,534,,512
Wellesley,03170000,      76,562,,578
West Boylston,03220000,       8,,,
West Bridgewater,03230000,      16,566,,550
West Springfield,03320000,      66,507,,512
Westborough,03210000,      45,552,,562
Westfield,03250000,      55,509,,497
Westford,03260000,      61,532,,544
Weston,03300000,      44,572,,595
Westport,03310000,       8,,,
Westwood,03350000,      72,530,,540
Weymouth,03360000,     102,506,,493
Whitman-Hanson,07800000,      56,506,,484
Whittier Regional Vocational Technical,08850000,      52,498,,473
Wilmington,03420000,      39,524,,500
Winchendon,03430000,      16,507,,513
Winchester,03440000,      77,551,,541
Winthrop,03460000,      42,498,,483
Woburn,03470000,      86,501,,504
Worcester,03480000,"   1,197",449,,451
State Totals,00000000,"  20,729",489,,491
